sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961086FE,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2016-10-19T13:43:04.527+0200,21.16641291,42.6581604,21.24
2016-10-19T13:43:05.737+0200,21.1664129,42.6581604,20.92
2016-10-19T13:43:06.851+0200,21.16641287,42.6581604,20.2
2016-10-19T13:43:08.078+0200,21.16641282,42.65816037,19.42
2016-10-19T13:43:09.196+0200,21.16640634,42.65815969,18.57
2016-10-19T13:43:10.322+0200,21.16640292,42.65815939,19.32
2016-10-19T13:43:11.595+0200,21.16640039,42.65815628,19.71
2016-10-19T13:43:12.681+0200,21.16639939,42.65815434,21.45
2016-10-19T13:43:13.878+0200,21.16640041,42.65814905,21.24
2016-10-19T13:43:15.021+0200,21.1663971,42.65814194,21.45
2016-10-19T13:43:16.166+0200,21.16638639,42.65812971,21.99
2016-10-19T13:43:17.435+0200,21.1663799,42.65812372,21.77
2016-10-19T13:43:18.501+0200,21.16636722,42.65811171,22.44
2016-10-19T13:43:19.700+0200,21.16635423,42.65809858,22.44
2016-10-19T13:43:20.855+0200,21.16634777,42.65808453,22.22
2016-10-19T13:43:22.034+0200,21.16634233,42.65805495,20.92
2016-10-19T13:43:23.173+0200,21.16634261,42.65804079,20.82
2016-10-19T13:43:24.349+0200,21.16634134,42.65802913,19.91
2016-10-19T13:43:25.569+0200,21.16634005,42.65801635,20.61
2016-10-19T13:43:26.691+0200,21.16633439,42.65800064,20.82
2016-10-19T13:43:27.847+0200,21.16632724,42.65798565,20.2
2016-10-19T13:43:29.137+0200,21.16631677,42.65795728,20.31
2016-10-19T13:43:30.192+0200,21.16630897,42.65794215,19.71
2016-10-19T13:43:31.350+0200,21.1663037,42.65792666,18.66
2016-10-19T13:43:32.504+0200,21.16630201,42.65791399,19.91
2016-10-19T13:43:33.692+0200,21.16629765,42.65789926,20.31
2016-10-19T13:43:34.846+0200,21.16629594,42.65788574,20.2
2016-10-19T13:43:36.061+0200,21.16628127,42.65786585,20.82
2016-10-19T13:43:37.201+0200,21.16627766,42.6578524,21.03
2016-10-19T13:43:38.336+0200,21.16627772,42.65784021,21.34
2016-10-19T13:43:39.541+0200,21.16627729,42.65782928,19.32
2016-10-19T13:43:40.690+0200,21.16627303,42.65781934,20.1
2016-10-19T13:43:41.867+0200,21.16627013,42.6578096,20.31
2016-10-19T13:43:43.038+0200,21.166265,42.65778862,21.88
2016-10-19T13:43:44.190+0200,21.16626397,42.65777654,21.34
2016-10-19T13:43:45.355+0200,21.16625737,42.65776498,21.99
2016-10-19T13:43:46.507+0200,21.1662521,42.65775561,22.9
2016-10-19T13:43:47.672+0200,21.16624672,42.65774575,22.67
2016-10-19T13:43:48.808+0200,21.16623801,42.65773739,22.22
2016-10-19T13:43:49.991+0200,21.16622759,42.65773051,22.1
2016-10-19T13:43:51.179+0200,21.16620051,42.65772395,22.44
2016-10-19T13:43:52.364+0200,21.16618459,42.65772428,24.33
2016-10-19T13:43:53.490+0200,21.1661733,42.65772798,25.34
2016-10-19T13:43:54.661+0200,21.16615671,42.65773483,24.83
2016-10-19T13:43:55.814+0200,21.16614671,42.65774203,25.09
2016-10-19T13:43:57.000+0200,21.16613336,42.65774609,23.96
2016-10-19T13:43:58.153+0200,21.1661025,42.65774825,22.67
2016-10-19T13:43:59.332+0200,21.16609046,42.65775655,21.88
2016-10-19T13:44:00.501+0200,21.16607937,42.65776119,21.03
2016-10-19T13:44:01.674+0200,21.16606772,42.65776834,20.61
2016-10-19T13:44:02.845+0200,21.16605417,42.6577754,19.23
2016-10-19T13:44:04.034+0200,21.16603892,42.65778263,18.66
2016-10-19T13:44:05.175+0200,21.16600489,42.65779341,18.94
2016-10-19T13:44:06.345+0200,21.16598109,42.65780141,19.04
2016-10-19T13:44:07.494+0200,21.16597428,42.65780873,18.3
2016-10-19T13:44:08.722+0200,21.16596002,42.65781615,18.57
2016-10-19T13:44:09.872+0200,21.16595001,42.65782404,18.48
2016-10-19T13:44:11.043+0200,21.16592512,42.65784138,17.85
2016-10-19T13:44:12.170+0200,21.16592063,42.65785821,17.41
2016-10-19T13:44:13.351+0200,21.16589059,42.65784973,17.76
2016-10-19T13:44:14.549+0200,21.16586989,42.65784615,18.3
2016-10-19T13:44:15.660+0200,21.16585189,42.65785007,18.39
2016-10-19T13:44:16.847+0200,21.16583287,42.65784869,18.76
2016-10-19T13:44:18.035+0200,21.16581776,42.65785022,19.23
2016-10-19T13:44:19.151+0200,21.16580664,42.65786233,19.51
2016-10-19T13:44:20.346+0200,21.16579184,42.65786397,18.94
2016-10-19T13:44:21.499+0200,21.16577973,42.6578758,18.57
2016-10-19T13:44:22.677+0200,21.16576597,42.65787978,18.12
2016-10-19T13:44:23.830+0200,21.16575224,42.65788282,19.42
2016-10-19T13:44:25.006+0200,21.16573205,42.65787742,20.71
2016-10-19T13:44:26.161+0200,21.16569767,42.6578797,20.61
2016-10-19T13:44:27.319+0200,21.16567745,42.65788372,21.45
2016-10-19T13:44:28.492+0200,21.16565147,42.65787925,21.88
2016-10-19T13:44:29.676+0200,21.16563639,42.65787527,22.22
2016-10-19T13:44:30.797+0200,21.16562099,42.65787037,23.84
2016-10-19T13:44:31.992+0200,21.16561414,42.65787384,22.67
2016-10-19T13:44:33.166+0200,21.1656079,42.65787363,22.33
2016-10-19T13:44:34.354+0200,21.16559443,42.65787623,23.72
2016-10-19T13:44:35.495+0200,21.1655739,42.65787635,25.87
2016-10-19T13:44:36.655+0200,21.16555554,42.65788405,24.58
2016-10-19T13:44:37.832+0200,21.16553812,42.65789228,25.21
2016-10-19T13:44:38.987+0200,21.16551692,42.65789332,25.21
2016-10-19T13:44:40.171+0200,21.16548715,42.6579011,24.96
2016-10-19T13:44:41.321+0200,21.16546811,42.65790675,26.4
2016-10-19T13:44:42.485+0200,21.16545379,42.65790718,27.8
2016-10-19T13:44:43.672+0200,21.16543717,42.6579131,28.53
2016-10-19T13:44:44.852+0200,21.16542785,42.65791962,29.12
2016-10-19T13:44:45.999+0200,21.16541544,42.6579276,28.53
2016-10-19T13:44:47.137+0200,21.16538461,42.65792827,28.38
2016-10-19T13:44:48.350+0200,21.16537732,42.65793252,28.09
2016-10-19T13:44:49.500+0200,21.16536149,42.6579371,27.09
2016-10-19T13:44:50.682+0200,21.16535012,42.65793609,27.51
2016-10-19T13:44:51.860+0200,21.16533772,42.65793321,26.27
2016-10-19T13:44:52.996+0200,21.16533278,42.65793486,26.68
2016-10-19T13:44:54.187+0200,21.16531588,42.65793388,25.21
2016-10-19T13:44:55.317+0200,21.16530636,42.65793651,24.58
2016-10-19T13:44:56.492+0200,21.16529423,42.65794071,25.47
2016-10-19T13:44:57.651+0200,21.1652844,42.65793878,25.87
2016-10-19T13:44:58.838+0200,21.16527586,42.65794102,26.4
2016-10-19T13:45:00.023+0200,21.1652671,42.65794701,28.38
2016-10-19T13:45:01.194+0200,21.16523714,42.65796526,28.67
2016-10-19T13:45:02.337+0200,21.16522516,42.65797443,27.8
2016-10-19T13:45:03.493+0200,21.16521876,42.65798751,27.66
2016-10-19T13:45:04.684+0200,21.16521079,42.65799998,28.38
2016-10-19T13:45:05.817+0200,21.16520815,42.65801124,27.66
2016-10-19T13:45:07.018+0200,21.16520492,42.65802125,28.38
2016-10-19T13:45:08.165+0200,21.16517453,42.65803718,28.09
2016-10-19T13:45:09.346+0200,21.16515144,42.65804297,28.82
2016-10-19T13:45:10.537+0200,21.16513442,42.65804784,28.09
2016-10-19T13:45:11.646+0200,21.16512027,42.65805121,28.97
2016-10-19T13:45:12.819+0200,21.16509977,42.65805063,28.67
2016-10-19T13:45:13.971+0200,21.16508551,42.65805381,27.8
2016-10-19T13:45:15.142+0200,21.16506213,42.65805643,27.23
2016-10-19T13:45:16.385+0200,21.16505354,42.65806051,26.27
2016-10-19T13:45:17.486+0200,21.16503313,42.6580606,25.09
2016-10-19T13:45:18.665+0200,21.16501911,42.65806243,24.33
2016-10-19T13:45:19.800+0200,21.16500193,42.65806229,24.46
2016-10-19T13:45:20.985+0200,21.16498906,42.65806366,24.33
2016-10-19T13:45:22.235+0200,21.16496726,42.65807153,24.46
2016-10-19T13:45:23.362+0200,21.16495469,42.65808258,25.6
2016-10-19T13:45:24.482+0200,21.16494258,42.65808373,25.47
2016-10-19T13:45:25.650+0200,21.16492787,42.65808879,23.01
2016-10-19T13:45:26.851+0200,21.16491706,42.65809937,22.22
2016-10-19T13:45:27.980+0200,21.16490069,42.65810759,23.13
2016-10-19T13:45:29.159+0200,21.16487788,42.65812467,24.09
2016-10-19T13:45:30.342+0200,21.16486606,42.65813209,23.25
2016-10-19T13:45:31.515+0200,21.16485052,42.65812742,21.77
2016-10-19T13:45:32.635+0200,21.1648426,42.65812899,22.67
2016-10-19T13:45:33.814+0200,21.16483208,42.65812976,21.13
2016-10-19T13:45:35.018+0200,21.16482763,42.65813351,22.1
2016-10-19T13:45:36.182+0200,21.16480486,42.65814429,23.13
