sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961061B2,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2016-10-21T08:06:10.889+0200,21.16049257,42.65779768,23.01
2016-10-21T08:06:12.055+0200,21.16049257,42.65779768,24.58
2016-10-21T08:06:13.269+0200,21.16049257,42.65779768,23.96
2016-10-21T08:06:14.372+0200,21.16049257,42.65779768,23.48
2016-10-21T08:06:15.537+0200,21.16049257,42.65779768,22.55
2016-10-21T08:06:16.763+0200,21.16049257,42.65779768,23.36
2016-10-21T08:06:17.879+0200,21.1589525,42.65748912,24.46
2016-10-21T08:06:19.015+0200,21.1589525,42.65748912,25.21
2016-10-21T08:06:20.202+0200,21.1589525,42.65748912,24.46
2016-10-21T08:06:21.400+0200,21.1589525,42.65748912,23.84
2016-10-21T08:06:22.544+0200,21.1589525,42.65748912,26.13
2016-10-21T08:06:23.705+0200,21.1589525,42.65748912,25.6
2016-10-21T08:06:24.916+0200,21.1589525,42.65748912,26.68
2016-10-21T08:06:26.040+0200,21.1589525,42.65748912,27.51
2016-10-21T08:06:27.235+0200,21.1589525,42.65748912,28.23
2016-10-21T08:06:28.380+0200,21.1589525,42.65748912,29.43
2016-10-21T08:06:29.545+0200,21.1589525,42.65748912,28.23
2016-10-21T08:06:30.720+0200,21.1589525,42.65748912,24.09
2016-10-21T08:06:31.896+0200,21.1589525,42.65748912,23.13
2016-10-21T08:06:33.009+0200,21.1589525,42.65748912,21.77
2016-10-21T08:06:34.225+0200,21.1589525,42.65748912,22.33
2016-10-21T08:06:35.392+0200,21.1589525,42.65748912,22.44
2016-10-21T08:06:36.605+0200,21.1589525,42.65748912,25.74
2016-10-21T08:06:37.738+0200,21.1589525,42.65748912,24.09
2016-10-21T08:06:38.855+0200,21.1589525,42.65748912,24.83
2016-10-21T08:06:40.008+0200,21.1589525,42.65748912,23.96
2016-10-21T08:06:41.244+0200,21.1589525,42.65748912,24.09
2016-10-21T08:06:42.381+0200,21.1589525,42.65748912,25.47
2016-10-21T08:06:43.545+0200,21.1589525,42.65748912,25.74
2016-10-21T08:06:44.716+0200,21.1589525,42.65748912,25.21
2016-10-21T08:06:45.899+0200,21.1589525,42.65748912,24.58
2016-10-21T08:06:47.092+0200,21.1589525,42.65748912,23.48
2016-10-21T08:06:48.227+0200,21.15899499,42.65754658,22.22
2016-10-21T08:06:49.358+0200,21.15887632,42.65754325,21.03
2016-10-21T08:06:50.540+0200,21.15902707,42.65761401,21.67
2016-10-21T08:06:51.721+0200,21.15901905,42.65766534,21.77
2016-10-21T08:06:52.945+0200,21.15901508,42.65766479,21.45
2016-10-21T08:06:54.031+0200,21.15900729,42.65761923,21.24
2016-10-21T08:06:55.215+0200,21.15898552,42.65764206,21.34
2016-10-21T08:06:56.365+0200,21.15899275,42.65769608,22.1
2016-10-21T08:06:57.512+0200,21.15913298,42.65760772,22.22
2016-10-21T08:06:58.790+0200,21.15929655,42.65748972,22.1
2016-10-21T08:06:59.875+0200,21.15939911,42.65733094,23.36
2016-10-21T08:07:01.048+0200,21.15946024,42.65736702,24.33
2016-10-21T08:07:02.233+0200,21.15934213,42.65748035,23.72
2016-10-21T08:07:03.344+0200,21.15922182,42.65773573,23.25
2016-10-21T08:07:04.642+0200,21.15924786,42.65776186,23.01
2016-10-21T08:07:05.728+0200,21.15920417,42.6577996,24.58
2016-10-21T08:07:06.871+0200,21.15916096,42.65783266,25.09
2016-10-21T08:07:08.033+0200,21.15903596,42.65783771,23.96
2016-10-21T08:07:09.190+0200,21.15913379,42.65789098,25.09
2016-10-21T08:07:10.369+0200,21.1591185,42.65798583,26.4
2016-10-21T08:07:11.525+0200,21.15913422,42.65799335,24.96
2016-10-21T08:07:12.685+0200,21.15911188,42.65797278,25.47
2016-10-21T08:07:13.931+0200,21.1591331,42.65807149,23.96
2016-10-21T08:07:15.031+0200,21.15919521,42.65821348,21.77
2016-10-21T08:07:16.201+0200,21.15921479,42.6581334,22.44
2016-10-21T08:07:17.355+0200,21.15918593,42.65818513,21.99
2016-10-21T08:07:18.558+0200,21.15913803,42.65825895,24.21
2016-10-21T08:07:19.666+0200,21.1590731,42.65821836,25.21
2016-10-21T08:07:20.872+0200,21.15901386,42.65832314,24.83
2016-10-21T08:07:22.031+0200,21.15900902,42.65825365,24.09
2016-10-21T08:07:23.217+0200,21.15899237,42.65815662,22.33
2016-10-21T08:07:24.352+0200,21.15895408,42.65805476,22.55
2016-10-21T08:07:25.551+0200,21.15892831,42.65801909,22.44
2016-10-21T08:07:26.679+0200,21.1589134,42.65802403,22.55
2016-10-21T08:07:27.880+0200,21.15892731,42.65801349,24.71
2016-10-21T08:07:29.033+0200,21.15890901,42.65801785,25.6
2016-10-21T08:07:30.212+0200,21.15890178,42.65802165,24.83
2016-10-21T08:07:31.344+0200,21.15888278,42.65801746,23.36
2016-10-21T08:07:32.534+0200,21.15888497,42.65802163,24.21
2016-10-21T08:07:33.701+0200,21.15888648,42.65801929,26.95
2016-10-21T08:07:34.868+0200,21.15888032,42.65800255,26.4
2016-10-21T08:07:36.045+0200,21.15887689,42.65799246,25.6
2016-10-21T08:07:37.196+0200,21.15887932,42.65799624,26.4
