sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2016-10-24T08:13:02.771+0200,21.1595134,42.65768194,102.22
2016-10-24T08:13:03.938+0200,21.15951338,42.65768137,100.78
2016-10-24T08:13:05.038+0200,21.15951342,42.65768154,92.38
2016-10-24T08:13:06.193+0200,21.15951346,42.6576816,87.66
2016-10-24T08:13:07.327+0200,21.15951347,42.65768156,88.33
2016-10-24T08:13:08.531+0200,21.15951345,42.65768154,91.7
2016-10-24T08:13:09.608+0200,21.15951344,42.65768152,92.38
2016-10-24T08:13:10.781+0200,21.15951343,42.65768151,96.88
2016-10-24T08:13:11.917+0200,21.15951343,42.65768151,90.68
2016-10-24T08:13:13.128+0200,21.15951342,42.65768153,90.68
2016-10-24T08:13:14.218+0200,21.15951347,42.65768151,91.36
2016-10-24T08:13:15.387+0200,21.15951351,42.65768154,94.09
2016-10-24T08:13:16.540+0200,21.15951359,42.65768158,99.7
2016-10-24T08:13:17.683+0200,21.15951364,42.65768159,99.35
2016-10-24T08:13:18.840+0200,21.15951369,42.65768164,102.58
2016-10-24T08:13:20.001+0200,21.15951376,42.65768166,104.78
2016-10-24T08:13:21.117+0200,21.15951381,42.65768165,109.64
2016-10-24T08:13:22.270+0200,21.15951383,42.65768163,116.67
2016-10-24T08:13:23.435+0200,21.15951387,42.65768163,116.67
2016-10-24T08:13:24.571+0200,21.15951391,42.6576816,110.41
2016-10-24T08:13:25.732+0200,21.15951395,42.65768161,110.79
2016-10-24T08:13:26.887+0200,21.159514,42.6576816,107.75
2016-10-24T08:13:28.036+0200,21.15951405,42.65768154,106.63
2016-10-24T08:13:29.162+0200,21.1595141,42.65768146,108.88
2016-10-24T08:13:30.319+0200,21.15951416,42.65768135,116.27
2016-10-24T08:13:31.448+0200,21.1595142,42.6576812,110.41
2016-10-24T08:13:32.587+0200,21.15951419,42.65768122,109.26
2016-10-24T08:13:33.768+0200,21.15951416,42.65768127,109.26
2016-10-24T08:13:34.895+0200,21.15951415,42.65768131,115.47
2016-10-24T08:13:36.090+0200,21.15951415,42.65768134,115.87
2016-10-24T08:13:37.187+0200,21.15951411,42.65768131,105.51
2016-10-24T08:13:38.351+0200,21.15951409,42.65768132,95.83
2016-10-24T08:13:39.508+0200,21.15951406,42.65768139,88.66
2016-10-24T08:13:40.663+0200,21.15951404,42.65768143,94.09
2016-10-24T08:13:41.786+0200,21.15951402,42.65768145,93.06
2016-10-24T08:13:42.950+0200,21.15951403,42.65768143,95.13
2016-10-24T08:13:44.060+0200,21.15951401,42.65768145,101.14
2016-10-24T08:13:45.282+0200,21.15951402,42.65768143,94.09
2016-10-24T08:13:46.409+0200,21.15951401,42.65768142,96.17
2016-10-24T08:13:47.532+0200,21.15951404,42.65768139,97.58
2016-10-24T08:13:48.658+0200,21.15951405,42.65768135,99.7
2016-10-24T08:13:49.813+0200,21.15951407,42.65768135,102.22
2016-10-24T08:13:50.973+0200,21.15951405,42.65768132,101.86
2016-10-24T08:13:52.117+0200,21.15951404,42.65768128,105.14
2016-10-24T08:13:53.257+0200,21.15951403,42.65768126,107.75
2016-10-24T08:13:54.410+0200,21.15951407,42.65768117,108.88
2016-10-24T08:13:55.563+0200,21.1595141,42.65768111,111.17
2016-10-24T08:13:56.701+0200,21.15951414,42.65768107,116.67
2016-10-24T08:13:57.884+0200,21.15951415,42.65768101,113.5
2016-10-24T08:13:59.015+0200,21.15951418,42.65768098,116.27
2016-10-24T08:14:00.150+0200,21.1595142,42.65768092,111.17
2016-10-24T08:14:01.320+0200,21.15951425,42.65768086,106.63
2016-10-24T08:14:02.438+0200,21.15951427,42.65768085,103.68
2016-10-24T08:14:03.595+0200,21.1595143,42.65768081,96.17
2016-10-24T08:14:04.715+0200,21.15951433,42.65768079,94.78
2016-10-24T08:14:05.885+0200,21.15951434,42.65768075,93.75
2016-10-24T08:14:07.023+0200,21.15951435,42.65768075,96.88
2016-10-24T08:14:08.283+0200,21.15951088,42.65767989,93.75
2016-10-24T08:14:09.338+0200,21.1595144,42.65768264,91.36
2016-10-24T08:14:10.468+0200,21.15951629,42.65768507,96.17
2016-10-24T08:14:11.642+0200,21.15951641,42.65768521,96.88
2016-10-24T08:14:12.811+0200,21.15953166,42.6576858,95.48
2016-10-24T08:14:13.897+0200,21.15954466,42.65768662,101.5
2016-10-24T08:14:15.090+0200,21.15955644,42.65768429,104.04
2016-10-24T08:14:16.225+0200,21.15956794,42.65768598,108.88
2016-10-24T08:14:17.351+0200,21.15958256,42.65768637,109.26
2016-10-24T08:14:18.495+0200,21.15958711,42.65769742,115.08
2016-10-24T08:14:19.690+0200,21.15959783,42.65770153,112.72
2016-10-24T08:14:20.798+0200,21.15960529,42.65770733,112.72
2016-10-24T08:14:21.970+0200,21.15961782,42.65770823,109.64
2016-10-24T08:14:23.117+0200,21.15963034,42.65771276,110.79
2016-10-24T08:14:24.231+0200,21.15963864,42.65771468,113.11
2016-10-24T08:14:25.398+0200,21.15964733,42.65771769,111.56
2016-10-24T08:14:26.584+0200,21.15966973,42.65772072,109.64
2016-10-24T08:14:27.791+0200,21.15968389,42.65772398,117.07
2016-10-24T08:14:28.833+0200,21.15969483,42.6577249,112.33
2016-10-24T08:14:29.960+0200,21.15970926,42.65771909,112.33
2016-10-24T08:14:31.172+0200,21.15972026,42.65771457,109.26
2016-10-24T08:14:32.312+0200,21.15972968,42.65771353,111.56
2016-10-24T08:14:33.466+0200,21.15975016,42.65770948,108.13
2016-10-24T08:14:34.570+0200,21.15976572,42.65770996,110.02
2016-10-24T08:14:35.731+0200,21.15977948,42.6577093,105.14
2016-10-24T08:14:36.876+0200,21.15978633,42.65771179,109.64
2016-10-24T08:14:38.046+0200,21.15980083,42.65771206,111.94
2016-10-24T08:14:39.197+0200,21.15981127,42.65771188,114.29
2016-10-24T08:14:40.326+0200,21.1598112,42.65771207,116.67
2016-10-24T08:14:41.506+0200,21.15982316,42.6577135,125.82
2016-10-24T08:14:42.620+0200,21.15983467,42.65770931,128.89
2016-10-24T08:14:43.765+0200,21.15983995,42.65770878,126.26
2016-10-24T08:14:44.918+0200,21.15984733,42.65771055,129.79
2016-10-24T08:14:46.070+0200,21.15986107,42.65770605,128.45
2016-10-24T08:14:47.220+0200,21.15987404,42.65770525,129.79
2016-10-24T08:14:48.350+0200,21.15988479,42.65770608,128.45
2016-10-24T08:14:49.517+0200,21.15991088,42.65770263,130.23
2016-10-24T08:14:50.718+0200,21.15991982,42.65770121,122.41
2016-10-24T08:14:51.849+0200,21.1599252,42.65770016,126.26
2016-10-24T08:14:52.930+0200,21.15993414,42.65769901,125.39
2016-10-24T08:14:54.119+0200,21.15994311,42.65769893,129.79
2016-10-24T08:14:55.276+0200,21.15995849,42.65769568,131.6
2016-10-24T08:14:56.395+0200,21.15997269,42.6576948,130.23
2016-10-24T08:14:57.564+0200,21.15999696,42.65769824,129.34
2016-10-24T08:14:58.712+0200,21.16000725,42.65770055,121.16
2016-10-24T08:14:59.846+0200,21.16001651,42.65770039,113.5
2016-10-24T08:15:00.999+0200,21.16002519,42.65769829,111.17
2016-10-24T08:15:02.161+0200,21.16004269,42.65770003,110.41
2016-10-24T08:15:03.287+0200,21.16005552,42.65770655,107.75
2016-10-24T08:15:04.402+0200,21.16006476,42.65771398,110.02
2016-10-24T08:15:05.594+0200,21.16006703,42.65773009,112.33
2016-10-24T08:15:06.709+0200,21.16006968,42.65773517,116.27
2016-10-24T08:15:07.901+0200,21.16007266,42.6577427,119.1
2016-10-24T08:15:09.035+0200,21.16007384,42.65774598,122.83
2016-10-24T08:15:10.152+0200,21.16007441,42.65775793,124.1
2016-10-24T08:15:11.317+0200,21.16007697,42.65777058,123.25
2016-10-24T08:15:12.460+0200,21.16008999,42.65779073,123.68
2016-10-24T08:15:13.632+0200,21.16009427,42.65780082,128.0
2016-10-24T08:15:14.786+0200,21.16009853,42.65780832,121.16
2016-10-24T08:15:15.883+0200,21.160103,42.65781927,117.07
2016-10-24T08:15:17.048+0200,21.16010606,42.65783072,118.69
2016-10-24T08:15:18.222+0200,21.16010612,42.65783843,117.88
2016-10-24T08:15:19.367+0200,21.16010403,42.65784865,117.88
2016-10-24T08:15:20.472+0200,21.16011705,42.65786117,124.53
2016-10-24T08:15:21.712+0200,21.16012104,42.65786903,117.47
2016-10-24T08:15:22.811+0200,21.16011965,42.65788134,118.69
2016-10-24T08:15:23.925+0200,21.16012495,42.65788918,116.67
2016-10-24T08:15:25.098+0200,21.16012943,42.65790013,111.56
2016-10-24T08:15:26.251+0200,21.16013699,42.65790613,120.74
2016-10-24T08:15:27.400+0200,21.1601379,42.65791134,116.67
2016-10-24T08:15:28.562+0200,21.1601518,42.65793201,124.1
2016-10-24T08:15:29.647+0200,21.16015078,42.65794669,124.1
2016-10-24T08:15:30.840+0200,21.16015912,42.65795891,125.39
2016-10-24T08:15:31.981+0200,21.16015932,42.6579653,122.41
2016-10-24T08:15:33.127+0200,21.1601639,42.65797286,121.57
2016-10-24T08:15:34.280+0200,21.16016984,42.65797231,120.74
2016-10-24T08:15:35.449+0200,21.1601751,42.65798402,121.16
2016-10-24T08:15:36.608+0200,21.16017764,42.65799677,117.88
2016-10-24T08:15:37.715+0200,21.16018451,42.65800368,120.33
2016-10-24T08:15:38.839+0200,21.160186,42.65801301,117.47
2016-10-24T08:15:40.036+0200,21.16018177,42.65802415,111.56
2016-10-24T08:15:41.170+0200,21.16018255,42.65803156,107.0
2016-10-24T08:15:42.337+0200,21.16018111,42.65804401,98.28
2016-10-24T08:15:43.457+0200,21.16018356,42.658063,91.7
2016-10-24T08:15:44.641+0200,21.16018033,42.65806695,92.72
2016-10-24T08:15:45.754+0200,21.16017581,42.65807659,93.06
2016-10-24T08:15:46.912+0200,21.16017252,42.65808799,96.88
2016-10-24T08:15:48.037+0200,21.16016954,42.65809706,97.23
2016-10-24T08:15:49.221+0200,21.16016006,42.65810457,95.13
2016-10-24T08:15:50.353+0200,21.16016334,42.65811307,97.23
2016-10-24T08:15:51.509+0200,21.16016511,42.65812957,94.09
2016-10-24T08:15:52.650+0200,21.160169,42.65813704,90.34
2016-10-24T08:15:53.827+0200,21.1601709,42.65814362,89.33
2016-10-24T08:15:54.932+0200,21.16016909,42.65814871,91.36
2016-10-24T08:15:56.063+0200,21.16016053,42.65814941,83.39
2016-10-24T08:15:57.218+0200,21.16015672,42.65815975,79.23
2016-10-24T08:15:58.401+0200,21.16015535,42.65816429,70.63
2016-10-24T08:15:59.531+0200,21.1601537,42.65818577,79.23
2016-10-24T08:16:00.667+0200,21.16015807,42.65819522,73.34
2016-10-24T08:16:01.807+0200,21.16015804,42.65820349,67.97
2016-10-24T08:16:02.987+0200,21.16015609,42.65821347,67.38
2016-10-24T08:16:04.080+0200,21.16015842,42.65822458,68.85
2016-10-24T08:16:05.273+0200,21.16015895,42.65823645,63.65
2016-10-24T08:16:06.431+0200,21.16017489,42.65824907,63.09
2016-10-24T08:16:07.527+0200,21.16018499,42.65825524,63.94
2016-10-24T08:16:08.744+0200,21.16019366,42.65825421,59.77
2016-10-24T08:16:09.835+0200,21.16019317,42.65826287,66.51
2016-10-24T08:16:11.022+0200,21.16019752,42.65828188,69.44
2016-10-24T08:16:12.207+0200,21.16020613,42.65829028,66.22
2016-10-24T08:16:13.289+0200,21.16021834,42.65830098,73.95
2016-10-24T08:16:14.460+0200,21.16022255,42.65832587,66.22
2016-10-24T08:16:15.560+0200,21.1602277,42.65833885,70.92
2016-10-24T08:16:16.758+0200,21.16022885,42.65834803,77.04
2016-10-24T08:16:17.863+0200,21.16023476,42.65835736,85.68
2016-10-24T08:16:19.033+0200,21.16024336,42.6583756,87.33
2016-10-24T08:16:20.187+0200,21.16024893,42.65838691,84.7
2016-10-24T08:16:21.373+0200,21.16025698,42.65840563,79.55
2016-10-24T08:16:22.462+0200,21.16027719,42.65843215,77.97
2016-10-24T08:16:23.642+0200,21.16029379,42.65844165,73.95
2016-10-24T08:16:24.753+0200,21.1603069,42.6584539,78.6
2016-10-24T08:16:25.916+0200,21.16031808,42.65846803,72.13
2016-10-24T08:16:27.054+0200,21.16032532,42.65847915,70.92
2016-10-24T08:16:28.212+0200,21.16033178,42.65849461,73.95
2016-10-24T08:16:29.377+0200,21.16033824,42.65850892,75.48
2016-10-24T08:16:30.511+0200,21.16035859,42.65853574,71.82
2016-10-24T08:16:31.655+0200,21.16036665,42.6585505,72.43
2016-10-24T08:16:32.822+0200,21.16036804,42.65856587,71.52
2016-10-24T08:16:33.967+0200,21.16036975,42.6585784,72.13
2016-10-24T08:16:35.091+0200,21.16036423,42.65859367,73.03
2016-10-24T08:16:36.212+0200,21.16037153,42.65860564,73.34
2016-10-24T08:16:37.415+0200,21.16038114,42.65863198,77.97
2016-10-24T08:16:38.570+0200,21.16038459,42.65863806,75.79
2016-10-24T08:16:39.706+0200,21.16039058,42.65864518,75.48
2016-10-24T08:16:40.874+0200,21.16039204,42.65865463,75.18
2016-10-24T08:16:41.993+0200,21.16039906,42.65865915,73.34
2016-10-24T08:16:43.117+0200,21.16040328,42.65866424,74.87
