sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961051B5,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2016-10-24T13:42:46.379+0200,21.16410579,42.65900689,74.87
2016-10-24T13:42:47.556+0200,21.16410912,42.65900935,77.66
2016-10-24T13:42:48.747+0200,21.16411305,42.65901136,83.39
2016-10-24T13:42:49.905+0200,21.16411513,42.65901213,81.78
2016-10-24T13:42:51.058+0200,21.16411774,42.65901401,80.82
2016-10-24T13:42:52.233+0200,21.16411804,42.65901407,82.75
2016-10-24T13:42:53.369+0200,21.16411824,42.65901422,86.01
2016-10-24T13:42:54.594+0200,21.16411828,42.65901429,85.02
2016-10-24T13:42:55.743+0200,21.16411831,42.65901429,83.07
2016-10-24T13:42:56.898+0200,21.1641183,42.65901429,83.07
2016-10-24T13:42:58.050+0200,21.16411827,42.65901427,81.14
2016-10-24T13:42:59.229+0200,21.16411825,42.65901428,84.7
2016-10-24T13:43:00.376+0200,21.16411822,42.65901427,82.75
2016-10-24T13:43:01.585+0200,21.16411819,42.65901425,83.07
2016-10-24T13:43:02.727+0200,21.16411816,42.65901422,80.82
2016-10-24T13:43:03.906+0200,21.16411816,42.65901418,79.23
2016-10-24T13:43:05.066+0200,21.16411813,42.65901411,76.41
2016-10-24T13:43:06.254+0200,21.16411814,42.65901406,75.79
2016-10-24T13:43:07.391+0200,21.16411816,42.65901403,74.25
2016-10-24T13:43:08.549+0200,21.16411818,42.65901402,75.79
2016-10-24T13:43:09.745+0200,21.16411822,42.65901404,76.41
2016-10-24T13:43:10.899+0200,21.16411827,42.65901405,75.48
2016-10-24T13:43:12.077+0200,21.16411829,42.65901402,77.66
2016-10-24T13:43:13.226+0200,21.16411832,42.65901403,83.07
2016-10-24T13:43:14.410+0200,21.16411834,42.65901404,81.78
2016-10-24T13:43:15.569+0200,21.16411834,42.65901403,85.02
2016-10-24T13:43:16.720+0200,21.16411834,42.65901401,86.67
2016-10-24T13:43:17.908+0200,21.16411835,42.65901398,89.33
2016-10-24T13:43:19.059+0200,21.16411837,42.65901397,81.78
2016-10-24T13:43:20.204+0200,21.16411837,42.65901396,78.29
2016-10-24T13:43:21.371+0200,21.16411836,42.65901392,82.1
2016-10-24T13:43:22.581+0200,21.16411838,42.65901388,81.78
2016-10-24T13:43:23.725+0200,21.1641184,42.65901386,85.35
2016-10-24T13:43:24.904+0200,21.16411843,42.65901382,82.75
2016-10-24T13:43:26.058+0200,21.16411849,42.65901378,80.82
2016-10-24T13:43:27.232+0200,21.16411849,42.65901377,76.72
2016-10-24T13:43:28.401+0200,21.16412329,42.65901624,77.97
2016-10-24T13:43:29.563+0200,21.16412585,42.65901939,73.95
2016-10-24T13:43:30.737+0200,21.16412738,42.6590195,76.41
2016-10-24T13:43:31.908+0200,21.16412625,42.65901794,76.72
2016-10-24T13:43:33.098+0200,21.16412536,42.65901558,76.72
2016-10-24T13:43:34.225+0200,21.16412771,42.65901445,77.35
2016-10-24T13:43:35.393+0200,21.1641222,42.659016,76.72
2016-10-24T13:43:36.576+0200,21.16410861,42.659014,74.25
2016-10-24T13:43:37.705+0200,21.16409968,42.65901419,75.79
2016-10-24T13:43:38.909+0200,21.16408812,42.65901286,76.72
2016-10-24T13:43:40.029+0200,21.16406284,42.65900854,81.14
2016-10-24T13:43:41.233+0200,21.16405201,42.65900807,84.04
2016-10-24T13:43:42.386+0200,21.16404217,42.65900746,83.39
2016-10-24T13:43:43.593+0200,21.16403039,42.65900541,77.97
2016-10-24T13:43:44.745+0200,21.16401741,42.65900491,79.23
2016-10-24T13:43:45.885+0200,21.1640048,42.65900546,78.29
2016-10-24T13:43:47.093+0200,21.16398393,42.6590031,70.63
2016-10-24T13:43:48.276+0200,21.16397285,42.65900076,67.38
2016-10-24T13:43:49.359+0200,21.1639623,42.65900112,69.14
2016-10-24T13:43:50.569+0200,21.16395355,42.65899773,72.73
