sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961051B5,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2016-10-26T13:50:44.806+0200,21.1663399,42.6581816,44.84
2016-10-26T13:50:45.944+0200,21.1663399,42.6581816,46.43
2016-10-26T13:50:47.175+0200,21.1663399,42.6581816,50.22
2016-10-26T13:50:48.332+0200,21.1663399,42.6581816,48.06
2016-10-26T13:50:49.467+0200,21.1663399,42.6581816,46.43
2016-10-26T13:50:50.640+0200,21.1663399,42.6581816,44.84
2016-10-26T13:50:51.790+0200,21.1663399,42.6581816,45.74
2016-10-26T13:50:52.946+0200,21.1663399,42.6581816,51.45
2016-10-26T13:50:54.130+0200,21.1663399,42.6581816,49.98
2016-10-26T13:50:55.298+0200,21.1663399,42.6581816,53.2
2016-10-26T13:50:56.520+0200,21.1663399,42.6581816,47.59
2016-10-26T13:50:57.608+0200,21.16623648,42.6580521,52.44
2016-10-26T13:50:58.857+0200,21.16632415,42.65809756,57.88
2016-10-26T13:50:59.940+0200,21.1663418,42.65813691,55.77
2016-10-26T13:51:01.105+0200,21.16632165,42.6581535,56.56
2016-10-26T13:51:02.265+0200,21.16633041,42.65818099,53.2
2016-10-26T13:51:03.487+0200,21.16632448,42.6582044,50.71
2016-10-26T13:51:04.617+0200,21.16631812,42.65821939,56.03
2016-10-26T13:51:05.818+0200,21.16627585,42.65822836,56.29
2016-10-26T13:51:06.947+0200,21.16625866,42.65823782,56.29
2016-10-26T13:51:08.144+0200,21.16624518,42.65824192,53.2
2016-10-26T13:51:09.280+0200,21.16622885,42.65824312,48.06
2016-10-26T13:51:10.470+0200,21.16621723,42.65824636,49.49
2016-10-26T13:51:11.645+0200,21.16617138,42.65825275,49.98
2016-10-26T13:51:12.803+0200,21.16615153,42.65825768,49.49
2016-10-26T13:51:13.925+0200,21.1661321,42.65825751,47.36
2016-10-26T13:51:15.094+0200,21.1661217,42.65826381,48.77
2016-10-26T13:51:16.294+0200,21.1661059,42.65826743,47.12
2016-10-26T13:51:17.458+0200,21.1660924,42.65827115,46.2
2016-10-26T13:51:18.672+0200,21.16606119,42.65827583,46.66
2016-10-26T13:51:19.812+0200,21.16604672,42.65827511,49.49
2016-10-26T13:51:20.950+0200,21.16603289,42.65827951,52.19
2016-10-26T13:51:22.129+0200,21.16601572,42.65827961,53.96
2016-10-26T13:51:23.294+0200,21.16599646,42.65828647,60.59
2016-10-26T13:51:24.443+0200,21.16597511,42.65828723,62.25
2016-10-26T13:51:25.587+0200,21.1659632,42.65829187,61.97
2016-10-26T13:51:26.817+0200,21.16592977,42.65829826,58.42
2016-10-26T13:51:27.934+0200,21.16591572,42.65830026,59.23
2016-10-26T13:51:29.143+0200,21.1658963,42.65830079,58.15
2016-10-26T13:51:30.287+0200,21.16587773,42.65830192,59.5
2016-10-26T13:51:31.450+0200,21.1658578,42.65830149,62.53
2016-10-26T13:51:32.614+0200,21.16584171,42.65830667,58.15
2016-10-26T13:51:33.777+0200,21.16580691,42.65831399,57.35
2016-10-26T13:51:34.978+0200,21.1657903,42.65831875,54.22
2016-10-26T13:51:36.109+0200,21.16577683,42.65832199,56.82
2016-10-26T13:51:37.272+0200,21.16577002,42.65832681,52.95
2016-10-26T13:51:38.460+0200,21.16575249,42.65832985,52.95
2016-10-26T13:51:39.628+0200,21.16573392,42.65833267,52.19
2016-10-26T13:51:40.775+0200,21.16570097,42.65834751,56.29
2016-10-26T13:51:41.913+0200,21.16568619,42.65835301,61.14
2016-10-26T13:51:43.117+0200,21.16566824,42.65835992,62.53
2016-10-26T13:51:44.260+0200,21.16565655,42.65836742,58.69
2016-10-26T13:51:45.472+0200,21.16563485,42.65837496,56.03
2016-10-26T13:51:46.600+0200,21.16561953,42.65837848,58.15
2016-10-26T13:51:47.802+0200,21.16558864,42.65839213,56.03
2016-10-26T13:51:48.983+0200,21.16557664,42.65840121,56.29
