sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961051B5,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2016-10-28T13:36:22.981+0200,21.16004792,42.65773847,2.98
2016-10-28T13:36:24.196+0200,21.16004584,42.65773633,3.69
2016-10-28T13:36:25.356+0200,21.16004495,42.65773593,5.11
2016-10-28T13:36:26.481+0200,21.16004511,42.65773625,6.96
2016-10-28T13:36:27.671+0200,21.16004377,42.65773626,9.32
2016-10-28T13:36:28.812+0200,21.1600424,42.65773747,11.56
2016-10-28T13:36:30.010+0200,21.16004243,42.65773745,13.19
2016-10-28T13:36:31.165+0200,21.16004219,42.65773763,14.95
2016-10-28T13:36:32.340+0200,21.16004215,42.65773765,16.31
2016-10-28T13:36:33.484+0200,21.1600422,42.65773761,17.32
2016-10-28T13:36:34.671+0200,21.16004222,42.65773761,18.39
2016-10-28T13:36:35.826+0200,21.1600485,42.65773901,19.91
2016-10-28T13:36:37.002+0200,21.16005714,42.65774153,20.51
2016-10-28T13:36:38.157+0200,21.16006578,42.65774211,19.71
2016-10-28T13:36:39.342+0200,21.16006858,42.65773915,19.51
2016-10-28T13:36:40.473+0200,21.16006303,42.65773698,19.71
2016-10-28T13:36:41.651+0200,21.16005734,42.65773672,20.41
2016-10-28T13:36:42.851+0200,21.1600609,42.65772926,21.03
2016-10-28T13:36:44.010+0200,21.16006083,42.6577256,20.31
2016-10-28T13:36:45.189+0200,21.16006284,42.65772385,19.91
2016-10-28T13:36:46.331+0200,21.16006314,42.65772241,21.88
2016-10-28T13:36:47.505+0200,21.16006299,42.65772142,24.71
2016-10-28T13:36:48.686+0200,21.16006313,42.65772104,26.4
2016-10-28T13:36:49.864+0200,21.16006321,42.6577207,25.74
2016-10-28T13:36:51.035+0200,21.16006317,42.65772065,25.87
2016-10-28T13:36:52.140+0200,21.16006317,42.65772059,24.83
2016-10-28T13:36:53.327+0200,21.16006319,42.65772052,25.09
2016-10-28T13:36:54.480+0200,21.1600632,42.65772046,24.46
2016-10-28T13:36:55.658+0200,21.16006321,42.6577204,25.34
2016-10-28T13:36:56.809+0200,21.16005836,42.6577165,26.27
2016-10-28T13:36:58.035+0200,21.16005412,42.65771493,25.6
2016-10-28T13:36:59.129+0200,21.16004959,42.65771348,27.94
2016-10-28T13:37:00.305+0200,21.16004792,42.65771211,25.6
2016-10-28T13:37:01.466+0200,21.16004568,42.65770883,26.54
2016-10-28T13:37:02.661+0200,21.1600475,42.65771007,25.87
2016-10-28T13:37:03.829+0200,21.16005442,42.65771303,27.51
2016-10-28T13:37:04.976+0200,21.16005979,42.6577142,26.4
2016-10-28T13:37:06.189+0200,21.16006266,42.65771516,27.51
2016-10-28T13:37:07.354+0200,21.16006397,42.65771643,26.68
2016-10-28T13:37:08.484+0200,21.16006732,42.65771703,24.83
2016-10-28T13:37:09.659+0200,21.16006837,42.65771584,23.72
2016-10-28T13:37:10.793+0200,21.16006647,42.65771421,22.67
2016-10-28T13:37:11.983+0200,21.16006638,42.65771399,21.03
2016-10-28T13:37:13.152+0200,21.16006618,42.65771396,19.71
2016-10-28T13:37:14.321+0200,21.16006612,42.65771392,19.13
2016-10-28T13:37:15.500+0200,21.1600661,42.65771387,17.58
2016-10-28T13:37:16.675+0200,21.16006651,42.65771011,17.58
2016-10-28T13:37:17.821+0200,21.16006234,42.65770062,17.5
2016-10-28T13:37:18.981+0200,21.16005869,42.6576994,16.07
2016-10-28T13:37:20.149+0200,21.1600535,42.65769671,15.42
2016-10-28T13:37:21.325+0200,21.16004776,42.65769325,15.5
2016-10-28T13:37:22.485+0200,21.16004366,42.65769114,13.87
2016-10-28T13:37:23.636+0200,21.16004299,42.65768652,12.9
2016-10-28T13:37:24.814+0200,21.16004301,42.65768008,12.82
2016-10-28T13:37:25.955+0200,21.16004151,42.65767775,13.27
2016-10-28T13:37:27.149+0200,21.16004193,42.65767755,14.1
