sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961051B5,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2016-10-28T13:46:56.155+0200,21.1600434,42.65752753,95.48
2016-10-28T13:46:57.304+0200,21.16004336,42.65752747,101.86
2016-10-28T13:46:58.468+0200,21.16004418,42.65752898,107.0
2016-10-28T13:46:59.627+0200,21.16004455,42.65753341,113.5
2016-10-28T13:47:00.800+0200,21.16005331,42.65754616,106.26
2016-10-28T13:47:01.992+0200,21.16006346,42.65755139,104.41
2016-10-28T13:47:03.125+0200,21.16006843,42.65756091,102.95
2016-10-28T13:47:04.336+0200,21.1600768,42.65756301,110.02
2016-10-28T13:47:05.477+0200,21.16007886,42.6575705,111.17
2016-10-28T13:47:06.641+0200,21.16007724,42.65757751,115.47
2016-10-28T13:47:07.846+0200,21.16008577,42.65758827,125.82
2016-10-28T13:47:08.985+0200,21.16009537,42.65759306,119.1
2016-10-28T13:47:10.126+0200,21.16009337,42.65760244,115.47
2016-10-28T13:47:11.327+0200,21.16009395,42.65761087,108.13
2016-10-28T13:47:12.462+0200,21.16009905,42.65762059,111.94
2016-10-28T13:47:13.677+0200,21.16009327,42.65763398,106.63
2016-10-28T13:47:14.797+0200,21.16010067,42.6576533,102.22
2016-10-28T13:47:16.002+0200,21.16010215,42.65765929,96.52
2016-10-28T13:47:17.184+0200,21.16009514,42.65767091,87.99
2016-10-28T13:47:18.325+0200,21.16008933,42.65767921,77.04
2016-10-28T13:47:19.499+0200,21.16008255,42.657686,67.38
2016-10-28T13:47:20.679+0200,21.16007465,42.65769111,57.88
2016-10-28T13:47:21.820+0200,21.16005315,42.65769059,53.2
2016-10-28T13:47:23.025+0200,21.16004121,42.65769009,46.66
2016-10-28T13:47:24.151+0200,21.16003235,42.65768995,40.74
2016-10-28T13:47:25.327+0200,21.16002298,42.65768987,36.58
2016-10-28T13:47:26.471+0200,21.16001437,42.65768966,32.64
2016-10-28T13:47:27.670+0200,21.16000122,42.65768949,31.48
2016-10-28T13:47:28.873+0200,21.15996834,42.657689,28.67
2016-10-28T13:47:30.002+0200,21.15995117,42.65769115,28.53
2016-10-28T13:47:31.141+0200,21.15993262,42.65769165,28.09
2016-10-28T13:47:32.326+0200,21.15991883,42.65769425,27.8
2016-10-28T13:47:33.486+0200,21.15990472,42.65769478,26.13
2016-10-28T13:47:34.724+0200,21.1598902,42.65769438,26.0
2016-10-28T13:47:35.815+0200,21.15985708,42.65769141,23.6
2016-10-28T13:47:36.982+0200,21.15984295,42.65768973,22.22
2016-10-28T13:47:38.140+0200,21.15983437,42.65769098,22.22
2016-10-28T13:47:39.316+0200,21.15981547,42.6576924,20.71
2016-10-28T13:47:40.491+0200,21.15980272,42.65768858,20.2
2016-10-28T13:47:41.635+0200,21.15979511,42.65769127,19.04
2016-10-28T13:47:42.820+0200,21.15977248,42.65769017,18.48
2016-10-28T13:47:44.037+0200,21.15975907,42.6576903,17.41
2016-10-28T13:47:45.180+0200,21.15974614,42.65769247,16.56
2016-10-28T13:47:46.423+0200,21.15973005,42.65769503,15.98
2016-10-28T13:47:47.460+0200,21.15971707,42.65769771,15.26
2016-10-28T13:47:48.700+0200,21.15970347,42.6577003,14.33
2016-10-28T13:47:49.793+0200,21.15967557,42.65770481,13.87
2016-10-28T13:47:50.987+0200,21.15966171,42.65770618,13.42
2016-10-28T13:47:52.135+0200,21.15964786,42.65770864,12.6
2016-10-28T13:47:53.313+0200,21.15963545,42.6577089,12.82
2016-10-28T13:47:54.478+0200,21.159622,42.65770664,11.71
2016-10-28T13:47:55.680+0200,21.15961524,42.65770643,12.0
2016-10-28T13:47:56.815+0200,21.15959968,42.65769891,12.15
2016-10-28T13:47:58.021+0200,21.15959285,42.65769377,12.15
2016-10-28T13:47:59.121+0200,21.15958805,42.65768913,11.49
2016-10-28T13:48:00.309+0200,21.15958661,42.65768858,11.12
