sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961051B5,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2016-10-28T07:45:03.455+0200,21.1599592,42.6576201,19.32
2016-10-28T07:45:04.642+0200,21.1599592,42.6576201,17.67
2016-10-28T07:45:05.815+0200,21.1599592,42.6576201,17.41
2016-10-28T07:45:06.974+0200,21.1599592,42.6576201,17.24
2016-10-28T07:45:08.103+0200,21.1599592,42.6576201,16.73
2016-10-28T07:45:09.284+0200,21.1599592,42.6576201,16.56
2016-10-28T07:45:10.460+0200,21.1599592,42.6576201,16.9
2016-10-28T07:45:11.639+0200,21.1599592,42.6576201,18.12
2016-10-28T07:45:12.787+0200,21.1599592,42.6576201,17.41
2016-10-28T07:45:13.963+0200,21.1599592,42.6576201,17.24
2016-10-28T07:45:15.121+0200,21.1599592,42.6576201,17.67
2016-10-28T07:45:16.348+0200,21.1600989,42.6575566,17.76
2016-10-28T07:45:17.478+0200,21.1600989,42.6575566,17.32
2016-10-28T07:45:18.644+0200,21.1600989,42.6575566,16.15
2016-10-28T07:45:19.777+0200,21.1600989,42.6575566,16.07
2016-10-28T07:45:20.955+0200,21.1600989,42.6575566,15.74
2016-10-28T07:45:22.133+0200,21.1600989,42.6575566,16.64
2016-10-28T07:45:23.334+0200,21.1600989,42.6575566,15.98
2016-10-28T07:45:24.451+0200,21.1600989,42.6575566,16.07
2016-10-28T07:45:25.625+0200,21.1600989,42.6575566,15.58
2016-10-28T07:45:26.771+0200,21.1600989,42.6575566,15.34
2016-10-28T07:45:27.961+0200,21.1600989,42.6575566,15.66
2016-10-28T07:45:29.122+0200,21.1600989,42.6575566,15.74
2016-10-28T07:45:30.284+0200,21.1600989,42.6575566,15.98
2016-10-28T07:45:31.452+0200,21.1600989,42.6575566,16.39
2016-10-28T07:45:32.667+0200,21.1600989,42.6575566,16.81
2016-10-28T07:45:33.757+0200,21.1600989,42.6575566,17.07
2016-10-28T07:45:34.972+0200,21.1600989,42.6575566,17.5
2016-10-28T07:45:36.141+0200,21.1600989,42.6575566,17.32
2016-10-28T07:45:37.299+0200,21.1599126,42.6575925,17.24
2016-10-28T07:45:38.460+0200,21.1599126,42.6575925,16.31
2016-10-28T07:45:39.659+0200,21.1599126,42.6575925,16.56
2016-10-28T07:45:40.819+0200,21.1599126,42.6575925,16.64
2016-10-28T07:45:41.942+0200,21.1599126,42.6575925,17.15
2016-10-28T07:45:43.148+0200,21.1599126,42.6575925,16.81
2016-10-28T07:45:44.283+0200,21.1599126,42.6575925,16.81
2016-10-28T07:45:45.435+0200,21.1599126,42.6575925,16.9
2016-10-28T07:45:46.672+0200,21.1599126,42.6575925,17.41
2016-10-28T07:45:47.783+0200,21.1599126,42.6575925,17.94
2016-10-28T07:45:48.905+0200,21.1599126,42.6575925,18.85
2016-10-28T07:45:50.097+0200,21.1599126,42.6575925,18.57
2016-10-28T07:45:51.271+0200,21.1599126,42.6575925,18.94
2016-10-28T07:45:52.519+0200,21.1599126,42.6575925,18.48
2016-10-28T07:45:53.608+0200,21.1599126,42.6575925,18.57
2016-10-28T07:45:54.774+0200,21.1599126,42.6575925,19.13
2016-10-28T07:45:55.957+0200,21.1599126,42.6575925,17.5
2016-10-28T07:45:57.079+0200,21.1599592,42.6576201,16.73
2016-10-28T07:45:58.300+0200,21.1599592,42.6576201,16.48
2016-10-28T07:45:59.415+0200,21.1599592,42.6576201,16.07
2016-10-28T07:46:00.608+0200,21.1599592,42.6576201,17.24
2016-10-28T07:46:01.787+0200,21.1599592,42.6576201,16.64
2016-10-28T07:46:03.028+0200,21.1599592,42.6576201,15.82
2016-10-28T07:46:04.082+0200,21.1599592,42.6576201,15.42
2016-10-28T07:46:05.287+0200,21.1599592,42.6576201,15.26
2016-10-28T07:46:06.445+0200,21.1599592,42.6576201,15.18
2016-10-28T07:46:07.612+0200,21.1599592,42.6576201,15.82
