sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961051B5,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2016-10-17T08:11:32.497+0200,200.0,200.0,9.63
2016-10-17T08:11:33.672+0200,200.0,200.0,8.95
2016-10-17T08:11:34.828+0200,200.0,200.0,9.4
2016-10-17T08:11:36.004+0200,200.0,200.0,9.7
2016-10-17T08:11:37.164+0200,200.0,200.0,10.37
2016-10-17T08:11:38.319+0200,200.0,200.0,10.75
2016-10-17T08:11:39.484+0200,200.0,200.0,10.52
2016-10-17T08:11:40.676+0200,200.0,200.0,9.7
2016-10-17T08:11:41.794+0200,200.0,200.0,9.25
2016-10-17T08:11:43.027+0200,200.0,200.0,9.78
2016-10-17T08:11:44.133+0200,200.0,200.0,10.15
2016-10-17T08:11:45.297+0200,200.0,200.0,10.0
2016-10-17T08:11:46.466+0200,200.0,200.0,9.1
2016-10-17T08:11:47.672+0200,200.0,200.0,10.0
2016-10-17T08:11:48.776+0200,200.0,200.0,9.4
2016-10-17T08:11:50.009+0200,200.0,200.0,9.78
2016-10-17T08:11:51.125+0200,200.0,200.0,9.55
2016-10-17T08:11:52.328+0200,200.0,200.0,9.7
2016-10-17T08:11:53.474+0200,200.0,200.0,9.63
2016-10-17T08:11:54.634+0200,200.0,200.0,9.4
2016-10-17T08:11:55.812+0200,200.0,200.0,9.17
2016-10-17T08:11:56.974+0200,200.0,200.0,10.0
2016-10-17T08:11:58.142+0200,200.0,200.0,9.93
2016-10-17T08:11:59.307+0200,200.0,200.0,9.7
2016-10-17T08:12:00.445+0200,200.0,200.0,9.78
2016-10-17T08:12:01.639+0200,200.0,200.0,9.93
2016-10-17T08:12:02.797+0200,200.0,200.0,10.6
2016-10-17T08:12:03.969+0200,200.0,200.0,9.85
2016-10-17T08:12:05.135+0200,200.0,200.0,9.7
2016-10-17T08:12:06.348+0200,200.0,200.0,10.45
2016-10-17T08:12:07.453+0200,200.0,200.0,12.15
2016-10-17T08:12:08.645+0200,200.0,200.0,11.78
2016-10-17T08:12:09.786+0200,200.0,200.0,12.08
2016-10-17T08:12:11.024+0200,200.0,200.0,12.15
2016-10-17T08:12:12.141+0200,200.0,200.0,12.52
2016-10-17T08:12:13.298+0200,200.0,200.0,12.15
2016-10-17T08:12:14.493+0200,200.0,200.0,12.6
2016-10-17T08:12:15.641+0200,200.0,200.0,12.0
2016-10-17T08:12:16.823+0200,200.0,200.0,12.0
2016-10-17T08:12:18.019+0200,200.0,200.0,12.52
2016-10-17T08:12:19.123+0200,200.0,200.0,12.52
2016-10-17T08:12:20.342+0200,200.0,200.0,11.93
2016-10-17T08:12:21.479+0200,200.0,200.0,12.9
2016-10-17T08:12:22.641+0200,200.0,200.0,12.75
2016-10-17T08:12:23.795+0200,200.0,200.0,12.45
2016-10-17T08:12:24.977+0200,200.0,200.0,13.65
2016-10-17T08:12:26.191+0200,200.0,200.0,13.42
2016-10-17T08:12:27.309+0200,200.0,200.0,13.34
2016-10-17T08:12:28.494+0200,200.0,200.0,13.65
2016-10-17T08:12:29.642+0200,200.0,200.0,12.75
2016-10-17T08:12:30.767+0200,200.0,200.0,12.45
2016-10-17T08:12:32.043+0200,200.0,200.0,12.45
2016-10-17T08:12:33.121+0200,200.0,200.0,12.08
2016-10-17T08:12:34.283+0200,200.0,200.0,13.12
2016-10-17T08:12:35.459+0200,200.0,200.0,13.12
2016-10-17T08:12:36.600+0200,200.0,200.0,13.05
2016-10-17T08:12:37.831+0200,200.0,200.0,12.82
2016-10-17T08:12:38.967+0200,200.0,200.0,12.52
2016-10-17T08:12:40.094+0200,200.0,200.0,12.38
2016-10-17T08:12:41.292+0200,200.0,200.0,11.56
2016-10-17T08:12:42.451+0200,200.0,200.0,12.38
2016-10-17T08:12:43.594+0200,200.0,200.0,12.23
2016-10-17T08:12:44.801+0200,200.0,200.0,12.23
