sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2016-10-17T13:44:11.831+0200,21.16024807,42.65697781,13.8
2016-10-17T13:44:12.929+0200,21.16025003,42.65698939,14.02
2016-10-17T13:44:14.053+0200,21.16025238,42.65700568,14.41
2016-10-17T13:44:15.205+0200,21.16025341,42.65701944,15.11
2016-10-17T13:44:16.336+0200,21.16025497,42.65703052,15.03
2016-10-17T13:44:17.510+0200,21.16025621,42.65705076,14.33
2016-10-17T13:44:18.702+0200,21.16025386,42.65706634,14.95
2016-10-17T13:44:19.841+0200,21.16025252,42.65707837,15.18
2016-10-17T13:44:20.920+0200,21.16025463,42.65709053,15.11
2016-10-17T13:44:22.087+0200,21.16025849,42.65710005,15.42
2016-10-17T13:44:23.257+0200,21.16026594,42.65711278,15.11
2016-10-17T13:44:24.362+0200,21.16027472,42.65712472,15.11
2016-10-17T13:44:25.549+0200,21.16028769,42.65714648,14.64
2016-10-17T13:44:26.677+0200,21.16028815,42.65715913,14.64
2016-10-17T13:44:27.834+0200,21.16029028,42.65717078,15.58
2016-10-17T13:44:28.952+0200,21.16029652,42.65718204,14.87
2016-10-17T13:44:30.147+0200,21.1602997,42.65719622,13.95
2016-10-17T13:44:31.275+0200,21.16030396,42.65720902,13.27
2016-10-17T13:44:32.423+0200,21.16029796,42.65723691,13.12
2016-10-17T13:44:33.577+0200,21.16030035,42.65724845,12.82
2016-10-17T13:44:34.735+0200,21.16029838,42.65725752,12.0
2016-10-17T13:44:35.890+0200,21.16029872,42.65726422,11.63
2016-10-17T13:44:37.006+0200,21.16029758,42.65727802,11.78
2016-10-17T13:44:38.199+0200,21.16030047,42.65729094,11.71
2016-10-17T13:44:39.341+0200,21.16030506,42.65730293,11.71
2016-10-17T13:44:40.444+0200,21.16030542,42.65733947,11.71
2016-10-17T13:44:41.634+0200,21.16031386,42.6573529,11.26
2016-10-17T13:44:42.760+0200,21.1603176,42.65736844,10.52
2016-10-17T13:44:43.922+0200,21.16032296,42.6573792,10.22
2016-10-17T13:44:45.027+0200,21.16032492,42.65739156,10.15
2016-10-17T13:44:46.200+0200,21.16032776,42.65739734,9.85
2016-10-17T13:44:47.307+0200,21.16033382,42.65740813,9.48
2016-10-17T13:44:48.540+0200,21.16033359,42.65743667,8.8
2016-10-17T13:44:49.670+0200,21.16033306,42.6574523,9.17
2016-10-17T13:44:50.781+0200,21.16033455,42.65746397,10.0
2016-10-17T13:44:51.904+0200,21.16032349,42.65747873,11.26
2016-10-17T13:44:53.082+0200,21.16031724,42.6574923,12.23
2016-10-17T13:44:54.214+0200,21.16030267,42.65750692,12.82
2016-10-17T13:44:55.364+0200,21.16029551,42.65751666,13.27
2016-10-17T13:44:56.469+0200,21.16027221,42.65753762,12.38
2016-10-17T13:44:57.674+0200,21.16026533,42.65754635,12.6
2016-10-17T13:44:58.843+0200,21.16025284,42.65755681,14.02
2016-10-17T13:44:59.956+0200,21.16023762,42.65756245,14.02
2016-10-17T13:45:01.109+0200,21.16021837,42.65756646,16.56
2016-10-17T13:45:02.249+0200,21.16020533,42.65757213,20.82
2016-10-17T13:45:03.352+0200,21.16017777,42.65757325,23.01
2016-10-17T13:45:04.555+0200,21.16014946,42.65758001,23.25
2016-10-17T13:45:05.686+0200,21.16013737,42.65758178,23.96
2016-10-17T13:45:06.885+0200,21.16013162,42.65758787,23.13
2016-10-17T13:45:07.999+0200,21.16012638,42.65759469,22.78
2016-10-17T13:45:09.112+0200,21.16011751,42.65760125,22.9
2016-10-17T13:45:10.245+0200,21.16011432,42.65761795,23.84
2016-10-17T13:45:11.450+0200,21.16010973,42.65763529,24.21
2016-10-17T13:45:12.560+0200,21.16010506,42.65764273,23.01
2016-10-17T13:45:13.710+0200,21.16009832,42.6576545,21.45
2016-10-17T13:45:14.861+0200,21.16008957,42.65766396,20.1
2016-10-17T13:45:16.015+0200,21.16008022,42.65767826,19.04
2016-10-17T13:45:17.121+0200,21.16006967,42.65768465,18.66
2016-10-17T13:45:18.343+0200,21.16005315,42.65768687,21.56
2016-10-17T13:45:19.425+0200,21.16002596,42.65768951,20.51
2016-10-17T13:45:20.603+0200,21.16001438,42.65768868,19.42
2016-10-17T13:45:21.727+0200,21.1599996,42.65768984,18.03
2016-10-17T13:45:22.905+0200,21.15998366,42.65769364,17.76
2016-10-17T13:45:24.033+0200,21.15996565,42.65769506,16.23
2016-10-17T13:45:25.223+0200,21.15995386,42.6576994,15.66
2016-10-17T13:45:26.364+0200,21.15993955,42.65770294,14.72
2016-10-17T13:45:27.460+0200,21.15992041,42.65770307,15.18
2016-10-17T13:45:28.612+0200,21.15990664,42.65770505,16.15
2016-10-17T13:45:29.787+0200,21.1598893,42.65770692,15.74
2016-10-17T13:45:30.929+0200,21.15987519,42.65771193,14.87
2016-10-17T13:45:32.051+0200,21.15985952,42.65771722,14.64
2016-10-17T13:45:33.247+0200,21.15984694,42.65771963,14.18
2016-10-17T13:45:34.388+0200,21.15982717,42.65773068,12.97
2016-10-17T13:45:35.544+0200,21.15981972,42.65773193,11.71
2016-10-17T13:45:36.662+0200,21.15981131,42.65773289,11.49
2016-10-17T13:45:37.841+0200,21.15979697,42.65773281,10.45
2016-10-17T13:45:38.965+0200,21.15978932,42.65773562,9.78
2016-10-17T13:45:40.118+0200,21.15977742,42.65773602,9.78
2016-10-17T13:45:41.260+0200,21.15976582,42.65773842,9.02
2016-10-17T13:45:42.345+0200,21.15975192,42.65773972,8.8
2016-10-17T13:45:43.556+0200,21.15972299,42.65775059,8.57
2016-10-17T13:45:44.680+0200,21.15970796,42.65775509,8.64
2016-10-17T13:45:45.844+0200,21.15969585,42.65775997,10.97
2016-10-17T13:45:47.001+0200,21.15967915,42.65775878,12.52
2016-10-17T13:45:48.142+0200,21.15966413,42.6577613,12.23
2016-10-17T13:45:49.261+0200,21.15965274,42.65776492,12.52
2016-10-17T13:45:50.423+0200,21.15963671,42.65777472,12.38
2016-10-17T13:45:51.582+0200,21.15962599,42.65777379,11.63
2016-10-17T13:45:52.731+0200,21.15961429,42.65777843,10.6
2016-10-17T13:45:53.867+0200,21.15960321,42.65778394,10.67
2016-10-17T13:45:55.018+0200,21.15959221,42.65778299,11.19
2016-10-17T13:45:56.149+0200,21.15958075,42.65778006,12.3
2016-10-17T13:45:57.341+0200,21.1595711,42.65778418,12.0
2016-10-17T13:45:58.409+0200,21.15954592,42.65779533,11.63
2016-10-17T13:45:59.586+0200,21.15953621,42.65780135,10.89
2016-10-17T13:46:00.726+0200,21.15952704,42.65780769,10.3
2016-10-17T13:46:01.950+0200,21.15952012,42.65781283,9.93
2016-10-17T13:46:03.033+0200,21.1595092,42.65782262,9.48
2016-10-17T13:46:04.236+0200,21.15949733,42.65782871,8.72
2016-10-17T13:46:05.330+0200,21.15949148,42.65783462,8.03
2016-10-17T13:46:06.470+0200,21.15947632,42.65784374,7.27
2016-10-17T13:46:07.620+0200,21.15947333,42.65784773,7.34
2016-10-17T13:46:08.809+0200,21.15946588,42.6578539,7.65
2016-10-17T13:46:09.912+0200,21.15945582,42.65785946,7.11
2016-10-17T13:46:11.060+0200,21.15944759,42.65786412,6.8
2016-10-17T13:46:12.192+0200,21.15943891,42.65787116,6.8
2016-10-17T13:46:13.398+0200,21.15941315,42.65788499,7.65
2016-10-17T13:46:14.504+0200,21.15940035,42.65789057,7.19
2016-10-17T13:46:15.656+0200,21.15939203,42.65789343,7.57
2016-10-17T13:46:16.842+0200,21.15938183,42.65789517,7.73
2016-10-17T13:46:17.984+0200,21.15936694,42.65789771,7.34
2016-10-17T13:46:19.059+0200,21.1593535,42.6579029,7.73
2016-10-17T13:46:20.242+0200,21.15933852,42.65790317,7.57
2016-10-17T13:46:21.421+0200,21.1593064,42.65790435,7.73
2016-10-17T13:46:23.066+0200,21.15928773,42.65790645,7.65
2016-10-17T13:46:24.241+0200,21.15927461,42.65790853,8.19
2016-10-17T13:46:25.406+0200,21.15925466,42.65790998,7.96
2016-10-17T13:46:26.499+0200,21.15923807,42.6579136,7.57
2016-10-17T13:46:27.680+0200,21.15922459,42.65791705,6.96
2016-10-17T13:46:28.851+0200,21.15920882,42.6579191,6.34
2016-10-17T13:46:29.973+0200,21.15917919,42.65792513,6.65
2016-10-17T13:46:31.088+0200,21.15916513,42.65793035,6.34
2016-10-17T13:46:32.266+0200,21.1591519,42.65793287,6.57
2016-10-17T13:46:33.387+0200,21.1591391,42.6579334,6.34
2016-10-17T13:46:34.529+0200,21.15912646,42.65793717,6.19
2016-10-17T13:46:35.666+0200,21.15910793,42.6579401,5.88
2016-10-17T13:46:36.883+0200,21.15909171,42.65794304,5.72
2016-10-17T13:46:37.976+0200,21.15905887,42.65794534,6.5
2016-10-17T13:46:39.108+0200,21.15904297,42.65794826,6.73
2016-10-17T13:46:40.315+0200,21.15902604,42.65795116,7.34
2016-10-17T13:46:41.432+0200,21.15901105,42.65795303,7.34
2016-10-17T13:46:42.555+0200,21.15899379,42.65795499,7.42
2016-10-17T13:46:43.725+0200,21.15898068,42.65795533,7.8
2016-10-17T13:46:44.869+0200,21.15896707,42.65795415,8.57
2016-10-17T13:46:46.044+0200,21.15893085,42.65795325,8.95
2016-10-17T13:46:47.197+0200,21.15892176,42.65795535,11.04
2016-10-17T13:46:48.323+0200,21.15890601,42.65795696,12.45
2016-10-17T13:46:49.445+0200,21.15889043,42.65795555,13.19
2016-10-17T13:46:50.598+0200,21.15887507,42.65795738,14.48
2016-10-17T13:46:51.752+0200,21.15885909,42.65796317,16.81
2016-10-17T13:46:52.889+0200,21.15884012,42.65796235,17.5
2016-10-17T13:46:54.069+0200,21.15880612,42.65795946,16.81
2016-10-17T13:46:55.175+0200,21.15878934,42.65796234,18.76
2016-10-17T13:46:56.381+0200,21.15877092,42.65795951,19.61
2016-10-17T13:46:57.514+0200,21.15875409,42.65796706,18.66
2016-10-17T13:46:58.602+0200,21.15873322,42.65796916,19.23
2016-10-17T13:46:59.762+0200,21.15872571,42.65797253,18.48
2016-10-17T13:47:00.946+0200,21.15869649,42.6579836,17.07
2016-10-17T13:47:02.090+0200,21.15868328,42.65799052,15.5
2016-10-17T13:47:03.230+0200,21.15866306,42.65799256,14.48
2016-10-17T13:47:04.384+0200,21.15864849,42.65799238,14.25
2016-10-17T13:47:05.510+0200,21.15863759,42.6579989,13.72
2016-10-17T13:47:06.664+0200,21.15862084,42.65800387,13.57
2016-10-17T13:47:07.822+0200,21.15860433,42.65800665,14.25
2016-10-17T13:47:08.976+0200,21.15857471,42.65801987,12.97
2016-10-17T13:47:10.124+0200,21.15856337,42.658026,12.15
2016-10-17T13:47:11.282+0200,21.15855931,42.65803227,12.0
2016-10-17T13:47:12.385+0200,21.15854532,42.65804015,11.63
2016-10-17T13:47:13.577+0200,21.15853823,42.65804671,11.26
2016-10-17T13:47:14.696+0200,21.15852686,42.65805547,10.6
2016-10-17T13:47:15.882+0200,21.15851125,42.65806323,10.15
2016-10-17T13:47:16.959+0200,21.15848279,42.65807412,9.32
2016-10-17T13:47:18.126+0200,21.15846184,42.65807547,9.1
2016-10-17T13:47:19.266+0200,21.15845001,42.65807877,8.72
2016-10-17T13:47:20.449+0200,21.158431,42.65807279,8.34
2016-10-17T13:47:21.567+0200,21.15841655,42.65807959,7.73
2016-10-17T13:47:22.749+0200,21.15840167,42.65806893,8.03
2016-10-17T13:47:23.875+0200,21.15838868,42.65807453,7.88
2016-10-17T13:47:25.042+0200,21.15836281,42.65809259,7.34
2016-10-17T13:47:26.146+0200,21.15834637,42.65810241,7.27
2016-10-17T13:47:27.336+0200,21.15832833,42.65810798,7.34
2016-10-17T13:47:28.426+0200,21.15831383,42.65811514,6.96
2016-10-17T13:47:29.594+0200,21.1582996,42.65812134,6.96
2016-10-17T13:47:30.752+0200,21.15829075,42.65814197,7.11
2016-10-17T13:47:31.882+0200,21.15828733,42.65814777,6.88
2016-10-17T13:47:33.011+0200,21.15826584,42.65813907,6.34
2016-10-17T13:47:34.204+0200,21.15825981,42.65814031,5.65
2016-10-17T13:47:35.355+0200,21.15825733,42.65812948,5.96
2016-10-17T13:47:36.495+0200,21.15825004,42.65813068,6.57
2016-10-17T13:47:37.634+0200,21.15823141,42.65811936,6.57
2016-10-17T13:47:38.800+0200,21.15821105,42.65810551,6.26
2016-10-17T13:47:39.920+0200,21.1581629,42.65808551,5.88
2016-10-17T13:47:41.044+0200,21.15814322,42.65808297,5.19
2016-10-17T13:47:42.207+0200,21.1581208,42.65808578,4.65
2016-10-17T13:47:43.385+0200,21.15810344,42.65808541,4.73
2016-10-17T13:47:44.512+0200,21.15808199,42.65808844,4.81
2016-10-17T13:47:45.620+0200,21.15805791,42.65809041,4.43
2016-10-17T13:47:46.836+0200,21.15803423,42.65809141,4.58
2016-10-17T13:47:47.939+0200,21.15799639,42.65808909,4.65
2016-10-17T13:47:49.069+0200,21.1579884,42.65808973,5.26
2016-10-17T13:47:50.241+0200,21.1579774,42.65808908,5.42
2016-10-17T13:47:51.396+0200,21.15797156,42.65808601,5.49
2016-10-17T13:47:52.551+0200,21.15795619,42.65808296,6.11
