sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961086FE,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-01-27T15:11:49.552+0100,21.16435404,42.65929597,57.08
2017-01-27T15:11:50.780+0100,21.16435701,42.6592958,57.08
2017-01-27T15:11:51.930+0100,21.16434925,42.6593008,51.94
2017-01-27T15:11:53.082+0100,21.16434628,42.6593046,51.45
2017-01-27T15:11:54.205+0100,21.16434492,42.65930268,48.06
2017-01-27T15:11:55.432+0100,21.16434528,42.65930123,49.73
2017-01-27T15:11:56.535+0100,21.16434713,42.65929449,48.77
2017-01-27T15:11:57.749+0100,21.16435245,42.6592776,49.01
2017-01-27T15:11:58.890+0100,21.16434749,42.65926933,49.25
2017-01-27T15:12:00.128+0100,21.16433764,42.65926827,53.71
2017-01-27T15:12:01.282+0100,21.164333,42.65925088,54.47
2017-01-27T15:12:02.404+0100,21.16432805,42.6592452,55.51
2017-01-27T15:12:03.612+0100,21.16432097,42.65923949,57.62
2017-01-27T15:12:04.752+0100,21.16430621,42.65923901,58.69
2017-01-27T15:12:05.902+0100,21.16430214,42.65923701,61.14
2017-01-27T15:12:07.076+0100,21.16429638,42.65923254,63.94
2017-01-27T15:12:08.230+0100,21.16428,42.6592277,67.67
2017-01-27T15:12:09.407+0100,21.16427021,42.65922693,65.07
2017-01-27T15:12:10.591+0100,21.16425491,42.65922938,65.93
2017-01-27T15:12:11.711+0100,21.16424319,42.6592327,72.43
2017-01-27T15:12:12.856+0100,21.16422709,42.65924165,73.34
2017-01-27T15:12:14.075+0100,21.16421247,42.65924368,77.35
2017-01-27T15:12:15.227+0100,21.16418976,42.65923948,77.04
2017-01-27T15:12:16.422+0100,21.16418398,42.65923631,77.97
2017-01-27T15:12:17.570+0100,21.16416843,42.6592394,79.23
2017-01-27T15:12:18.712+0100,21.16415497,42.65923727,81.78
2017-01-27T15:12:19.900+0100,21.16414218,42.65923645,83.39
2017-01-27T15:12:21.092+0100,21.16413218,42.65924076,79.87
2017-01-27T15:12:22.235+0100,21.16411604,42.65924434,79.23
2017-01-27T15:12:23.407+0100,21.16410406,42.65924832,82.75
2017-01-27T15:12:24.551+0100,21.16408619,42.65925327,83.72
2017-01-27T15:12:25.737+0100,21.16407607,42.65925293,80.18
2017-01-27T15:12:26.899+0100,21.1640702,42.65925316,83.72
2017-01-27T15:12:28.054+0100,21.16406095,42.65924875,85.35
2017-01-27T15:12:29.225+0100,21.16404666,42.6592418,84.37
2017-01-27T15:12:30.440+0100,21.16403283,42.65924307,87.33
2017-01-27T15:12:31.524+0100,21.16402159,42.65924193,91.7
2017-01-27T15:12:32.729+0100,21.16400793,42.65924501,90.34
2017-01-27T15:12:33.868+0100,21.16398956,42.65924721,88.66
2017-01-27T15:12:35.054+0100,21.16397327,42.65924784,90.68
2017-01-27T15:12:36.216+0100,21.16393277,42.65926843,87.33
2017-01-27T15:12:37.394+0100,21.16391829,42.65927829,89.33
2017-01-27T15:12:38.549+0100,21.163911,42.65926759,91.7
2017-01-27T15:12:39.706+0100,21.16389534,42.65926527,88.33
2017-01-27T15:12:40.871+0100,21.16388678,42.65926497,87.33
2017-01-27T15:12:42.056+0100,21.163877,42.65926222,80.5
2017-01-27T15:12:43.195+0100,21.16384256,42.65927267,75.18
2017-01-27T15:12:44.407+0100,21.16383569,42.65928156,77.66
2017-01-27T15:12:45.565+0100,21.16383833,42.65928132,78.29
2017-01-27T15:12:46.710+0100,21.16382727,42.65927634,76.41
2017-01-27T15:12:47.851+0100,21.1638194,42.65927214,73.34
2017-01-27T15:12:49.070+0100,21.16379497,42.65928219,77.35
2017-01-27T15:12:50.224+0100,21.16376177,42.65927662,73.34
2017-01-27T15:12:51.389+0100,21.16373953,42.65928824,77.35
2017-01-27T15:12:52.532+0100,21.16373135,42.65929495,78.92
2017-01-27T15:12:53.730+0100,21.16373552,42.65929044,79.23
2017-01-27T15:12:54.891+0100,21.16374624,42.659284,79.55
2017-01-27T15:12:56.066+0100,21.16371463,42.65928273,79.87
2017-01-27T15:12:57.246+0100,21.16366522,42.6592996,80.5
2017-01-27T15:12:58.397+0100,21.16365603,42.65932469,76.72
2017-01-27T15:12:59.562+0100,21.16364682,42.65932777,72.43
2017-01-27T15:13:00.783+0100,21.16363544,42.65933448,71.22
2017-01-27T15:13:01.889+0100,21.16362809,42.65933682,70.03
2017-01-27T15:13:03.045+0100,21.16361561,42.65933866,70.92
2017-01-27T15:13:04.246+0100,21.16359571,42.65933877,72.43
2017-01-27T15:13:05.395+0100,21.16358352,42.65933558,71.22
2017-01-27T15:13:06.554+0100,21.16357464,42.65933406,69.73
2017-01-27T15:13:07.757+0100,21.16355901,42.65933405,74.25
2017-01-27T15:13:08.892+0100,21.16353731,42.65933408,72.73
2017-01-27T15:13:10.075+0100,21.16352107,42.65933994,71.22
2017-01-27T15:13:11.214+0100,21.1634901,42.65934369,73.95
2017-01-27T15:13:12.396+0100,21.16347151,42.65934794,76.1
2017-01-27T15:13:13.552+0100,21.16346151,42.65935594,77.04
2017-01-27T15:13:14.712+0100,21.1634501,42.6593702,76.1
2017-01-27T15:13:15.864+0100,21.16343637,42.65937793,77.04
2017-01-27T15:13:17.062+0100,21.16342194,42.65938059,81.46
2017-01-27T15:13:18.202+0100,21.16338928,42.65939493,81.14
2017-01-27T15:13:19.373+0100,21.16337856,42.65939605,81.78
2017-01-27T15:13:20.534+0100,21.16336913,42.6593938,79.87
2017-01-27T15:13:21.759+0100,21.16335472,42.65939888,76.72
2017-01-27T15:13:22.875+0100,21.16334508,42.65939905,74.87
2017-01-27T15:13:24.057+0100,21.16333572,42.65940659,73.64
2017-01-27T15:13:25.212+0100,21.16329431,42.65941895,74.56
2017-01-27T15:13:26.370+0100,21.16328425,42.65941783,73.64
2017-01-27T15:13:27.542+0100,21.16327745,42.6594199,76.41
2017-01-27T15:13:28.743+0100,21.16327161,42.65941447,75.79
2017-01-27T15:13:29.873+0100,21.16326753,42.65941707,81.46
2017-01-27T15:13:31.018+0100,21.16326233,42.6594163,81.46
2017-01-27T15:13:32.182+0100,21.1632312,42.65941319,80.5
2017-01-27T15:13:33.385+0100,21.16321356,42.6594074,76.41
2017-01-27T15:13:34.511+0100,21.16321918,42.6594139,78.29
2017-01-27T15:13:35.772+0100,21.16320615,42.65941299,79.23
2017-01-27T15:13:36.852+0100,21.16320501,42.65940791,78.6
2017-01-27T15:13:38.057+0100,21.16320689,42.65941335,80.5
2017-01-27T15:13:39.214+0100,21.16317537,42.65941795,77.97
2017-01-27T15:13:40.379+0100,21.16317717,42.65941795,77.97
2017-01-27T15:13:41.536+0100,21.16317159,42.65942393,79.87
2017-01-27T15:13:42.723+0100,21.16316607,42.65942483,79.87
2017-01-27T15:13:43.896+0100,21.16315582,42.65943044,81.14
2017-01-27T15:13:45.054+0100,21.16314136,42.65942831,80.5
2017-01-27T15:13:46.209+0100,21.16309983,42.65943558,81.14
2017-01-27T15:13:47.366+0100,21.16308446,42.65943629,80.18
2017-01-27T15:13:48.546+0100,21.16306159,42.65943943,77.35
2017-01-27T15:13:49.699+0100,21.16304704,42.65943267,76.1
2017-01-27T15:13:50.861+0100,21.16303438,42.65943268,75.79
2017-01-27T15:13:52.039+0100,21.16301579,42.65943716,73.95
2017-01-27T15:13:53.241+0100,21.16299155,42.65944791,76.72
2017-01-27T15:13:54.412+0100,21.16297047,42.65945084,79.23
2017-01-27T15:13:55.557+0100,21.16295455,42.65945428,76.72
2017-01-27T15:13:56.705+0100,21.16294002,42.65946037,78.92
2017-01-27T15:13:57.880+0100,21.16292073,42.65946299,73.64
2017-01-27T15:13:59.083+0100,21.16291147,42.6594681,73.95
2017-01-27T15:14:00.213+0100,21.16288762,42.65948314,77.35
2017-01-27T15:14:01.356+0100,21.16286111,42.65949372,77.35
2017-01-27T15:14:02.570+0100,21.16284054,42.65950182,77.04
2017-01-27T15:14:03.689+0100,21.1628307,42.65950369,78.92
2017-01-27T15:14:04.847+0100,21.1628142,42.65950718,80.5
2017-01-27T15:14:06.050+0100,21.16279308,42.65950835,75.48
2017-01-27T15:14:07.221+0100,21.16276853,42.65951864,75.48
2017-01-27T15:14:08.385+0100,21.16276103,42.65951516,70.92
2017-01-27T15:14:09.526+0100,21.16275922,42.65951122,70.03
2017-01-27T15:14:10.708+0100,21.16276623,42.65951115,75.79
2017-01-27T15:14:11.856+0100,21.16275935,42.65951123,82.43
2017-01-27T15:14:13.029+0100,21.16274804,42.65951842,86.67
2017-01-27T15:14:14.187+0100,21.16272727,42.65952745,84.7
2017-01-27T15:14:15.369+0100,21.16271598,42.65953099,87.0
2017-01-27T15:14:16.532+0100,21.16270857,42.65953643,87.99
2017-01-27T15:14:17.694+0100,21.16268481,42.65953944,85.35
2017-01-27T15:14:18.891+0100,21.16267213,42.65953743,82.1
2017-01-27T15:14:20.042+0100,21.162658,42.65953643,82.43
2017-01-27T15:14:21.162+0100,21.16263213,42.65955816,82.1
