sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-01-27T09:37:15.328+0100,21.1600601,42.65778302,108.88
2017-01-27T09:37:16.502+0100,21.16005922,42.65778076,111.17
2017-01-27T09:37:17.651+0100,21.16005999,42.65778026,111.17
2017-01-27T09:37:18.805+0100,21.16007607,42.65777112,109.26
2017-01-27T09:37:19.957+0100,21.16009699,42.65776379,109.26
2017-01-27T09:37:21.161+0100,21.16010612,42.65776689,111.17
2017-01-27T09:37:22.229+0100,21.16011156,42.6577756,106.63
2017-01-27T09:37:23.392+0100,21.16011502,42.65777194,101.14
2017-01-27T09:37:24.505+0100,21.16012029,42.65777913,104.04
2017-01-27T09:37:25.665+0100,21.16012113,42.65778559,105.14
2017-01-27T09:37:26.835+0100,21.16012004,42.65779413,104.04
2017-01-27T09:37:28.007+0100,21.16012027,42.6578002,104.41
2017-01-27T09:37:29.117+0100,21.16011267,42.65781503,101.5
2017-01-27T09:37:30.312+0100,21.1601038,42.65781831,106.26
2017-01-27T09:37:31.420+0100,21.16010674,42.65782368,106.26
2017-01-27T09:37:32.577+0100,21.16011421,42.65782622,108.5
2017-01-27T09:37:33.675+0100,21.16011398,42.65782971,111.56
2017-01-27T09:37:34.849+0100,21.16011408,42.65783727,105.88
2017-01-27T09:37:35.973+0100,21.16011337,42.65784257,106.26
2017-01-27T09:37:37.161+0100,21.160116,42.65785724,106.63
2017-01-27T09:37:38.294+0100,21.1601204,42.65787145,106.26
2017-01-27T09:37:39.472+0100,21.16012196,42.65788088,100.06
2017-01-27T09:37:40.664+0100,21.16011952,42.65789286,97.58
2017-01-27T09:37:41.750+0100,21.16011526,42.65790049,97.23
2017-01-27T09:37:42.910+0100,21.160112,42.65791189,93.06
2017-01-27T09:37:44.007+0100,21.16011348,42.65791782,86.67
2017-01-27T09:37:45.188+0100,21.16011665,42.65793642,87.99
2017-01-27T09:37:46.326+0100,21.16011828,42.65793775,80.82
2017-01-27T09:37:47.482+0100,21.16012339,42.65793675,78.29
2017-01-27T09:37:48.597+0100,21.1601206,42.65793684,81.78
2017-01-27T09:37:49.745+0100,21.16012189,42.65793762,75.48
2017-01-27T09:37:50.950+0100,21.16012075,42.6579467,82.1
2017-01-27T09:37:52.042+0100,21.16011038,42.65795579,81.46
2017-01-27T09:37:53.226+0100,21.16012442,42.65797619,81.46
2017-01-27T09:37:54.316+0100,21.16012457,42.657982,82.75
2017-01-27T09:37:55.524+0100,21.16012751,42.65799387,83.72
2017-01-27T09:37:56.638+0100,21.16011717,42.65800237,86.34
2017-01-27T09:37:57.782+0100,21.16011474,42.6580076,91.02
2017-01-27T09:37:58.916+0100,21.16011449,42.65801945,90.0
2017-01-27T09:38:00.161+0100,21.16012596,42.65804186,82.43
2017-01-27T09:38:01.250+0100,21.16012489,42.6580492,87.0
2017-01-27T09:38:02.411+0100,21.16012745,42.65805616,79.87
2017-01-27T09:38:03.487+0100,21.16012815,42.65806627,81.46
2017-01-27T09:38:04.672+0100,21.16013398,42.65807153,76.72
2017-01-27T09:38:05.840+0100,21.16013242,42.65807808,80.18
2017-01-27T09:38:07.017+0100,21.16013217,42.65808154,86.34
2017-01-27T09:38:08.085+0100,21.16013174,42.6580869,91.36
2017-01-27T09:38:09.314+0100,21.1601402,42.65810657,88.33
2017-01-27T09:38:10.439+0100,21.160145,42.65811528,87.66
2017-01-27T09:38:11.595+0100,21.16015092,42.65812373,85.35
2017-01-27T09:38:12.699+0100,21.16015524,42.65813661,82.43
2017-01-27T09:38:13.850+0100,21.16015855,42.65814639,81.14
2017-01-27T09:38:14.992+0100,21.16015692,42.65815623,83.39
2017-01-27T09:38:16.191+0100,21.16015854,42.65816501,84.37
2017-01-27T09:38:17.264+0100,21.16015738,42.65817428,77.66
2017-01-27T09:38:18.465+0100,21.16016738,42.65818375,77.35
2017-01-27T09:38:19.661+0100,21.16016323,42.65819342,79.87
2017-01-27T09:38:20.720+0100,21.160164,42.65820239,90.34
2017-01-27T09:38:21.880+0100,21.16016268,42.65821151,89.67
2017-01-27T09:38:23.031+0100,21.16015994,42.65822224,86.34
2017-01-27T09:38:24.192+0100,21.16017147,42.65824819,90.68
2017-01-27T09:38:25.337+0100,21.16017465,42.65825985,82.43
2017-01-27T09:38:26.476+0100,21.16017777,42.65826975,73.64
2017-01-27T09:38:27.665+0100,21.16017508,42.65828367,72.13
2017-01-27T09:38:28.796+0100,21.16017087,42.65829019,74.87
2017-01-27T09:38:29.918+0100,21.16017847,42.65829525,76.1
2017-01-27T09:38:31.065+0100,21.16017865,42.65830362,70.33
2017-01-27T09:38:32.234+0100,21.16018675,42.65832758,77.04
2017-01-27T09:38:33.347+0100,21.16018282,42.65833853,74.87
2017-01-27T09:38:34.523+0100,21.16017863,42.65834778,80.5
2017-01-27T09:38:35.660+0100,21.16018243,42.65836004,76.72
2017-01-27T09:38:36.802+0100,21.16017063,42.6583713,71.52
2017-01-27T09:38:37.950+0100,21.16014494,42.65838034,71.22
2017-01-27T09:38:39.163+0100,21.16017973,42.65838388,74.87
2017-01-27T09:38:40.232+0100,21.1601838,42.65839745,77.04
2017-01-27T09:38:41.382+0100,21.16018628,42.6584037,83.07
2017-01-27T09:38:42.540+0100,21.16018666,42.65840773,74.87
2017-01-27T09:38:43.717+0100,21.16020288,42.65841602,69.44
2017-01-27T09:38:44.821+0100,21.16022276,42.65841993,68.85
2017-01-27T09:38:45.986+0100,21.1602265,42.65842392,65.65
2017-01-27T09:38:47.121+0100,21.1602322,42.65843916,63.09
2017-01-27T09:38:48.296+0100,21.16022406,42.65844544,73.03
2017-01-27T09:38:49.395+0100,21.16022768,42.65845441,77.04
2017-01-27T09:38:50.583+0100,21.16022572,42.65846304,78.92
2017-01-27T09:38:51.702+0100,21.16023042,42.6584709,81.78
2017-01-27T09:38:52.839+0100,21.16024072,42.65848177,81.14
2017-01-27T09:38:53.976+0100,21.1602581,42.65849623,81.14
2017-01-27T09:38:55.158+0100,21.16025456,42.65850157,78.6
2017-01-27T09:38:56.313+0100,21.16026376,42.65851522,80.82
2017-01-27T09:38:57.460+0100,21.16026181,42.65852912,76.72
2017-01-27T09:38:58.662+0100,21.16026137,42.65853591,76.41
2017-01-27T09:38:59.743+0100,21.16027076,42.65854566,80.82
2017-01-27T09:39:00.866+0100,21.16027372,42.65855973,78.92
2017-01-27T09:39:02.074+0100,21.16027916,42.65857135,82.75
2017-01-27T09:39:03.220+0100,21.16029979,42.65859362,84.37
2017-01-27T09:39:04.352+0100,21.16030331,42.65860736,85.35
2017-01-27T09:39:05.505+0100,21.16030845,42.65862037,74.56
2017-01-27T09:39:06.641+0100,21.16030389,42.65862529,71.82
2017-01-27T09:39:07.790+0100,21.16030573,42.65864331,70.33
2017-01-27T09:39:08.944+0100,21.16030344,42.65865375,71.52
2017-01-27T09:39:10.080+0100,21.16030359,42.65866351,73.03
2017-01-27T09:39:11.245+0100,21.16031596,42.65868407,66.8
2017-01-27T09:39:12.346+0100,21.16031722,42.65869078,67.38
2017-01-27T09:39:13.562+0100,21.16032325,42.65870827,67.67
2017-01-27T09:39:14.627+0100,21.16032485,42.65871578,71.82
2017-01-27T09:39:15.813+0100,21.16032346,42.65872126,66.8
2017-01-27T09:39:16.967+0100,21.16033116,42.65873974,65.93
2017-01-27T09:39:18.133+0100,21.1603441,42.65877848,64.22
2017-01-27T09:39:19.279+0100,21.1603501,42.65879607,69.44
2017-01-27T09:39:20.419+0100,21.16035659,42.65881649,63.09
2017-01-27T09:39:21.541+0100,21.16036083,42.65883243,59.77
2017-01-27T09:39:22.727+0100,21.16036372,42.658848,62.25
2017-01-27T09:39:23.830+0100,21.16037707,42.65888045,66.8
2017-01-27T09:39:25.006+0100,21.16037665,42.65889162,66.8
2017-01-27T09:39:26.134+0100,21.16038484,42.65888878,66.51
2017-01-27T09:39:27.283+0100,21.16038399,42.65890656,73.34
2017-01-27T09:39:28.410+0100,21.16039475,42.65892417,75.18
2017-01-27T09:39:29.562+0100,21.16039984,42.65892306,74.87
2017-01-27T09:39:30.736+0100,21.1604129,42.65893275,80.82
2017-01-27T09:39:31.902+0100,21.16041339,42.65892954,85.35
2017-01-27T09:39:33.032+0100,21.16042401,42.65893231,81.46
2017-01-27T09:39:34.208+0100,21.16043141,42.6589539,83.07
2017-01-27T09:39:35.350+0100,21.16044086,42.65896276,83.72
2017-01-27T09:39:36.445+0100,21.16045067,42.65898272,89.67
2017-01-27T09:39:37.660+0100,21.16044951,42.65899377,98.64
2017-01-27T09:39:38.761+0100,21.16045281,42.65900411,100.06
2017-01-27T09:39:39.919+0100,21.16045668,42.65901749,96.17
2017-01-27T09:39:41.091+0100,21.16046197,42.65902368,93.06
2017-01-27T09:39:42.171+0100,21.16045747,42.6590456,92.04
2017-01-27T09:39:43.350+0100,21.16045101,42.65906395,96.17
2017-01-27T09:39:44.512+0100,21.16044548,42.65908171,96.17
2017-01-27T09:39:45.632+0100,21.16044251,42.65910525,97.58
2017-01-27T09:39:46.792+0100,21.16044538,42.6591205,102.22
2017-01-27T09:39:47.953+0100,21.16044439,42.65913712,101.14
2017-01-27T09:39:49.045+0100,21.16045471,42.65914964,94.09
2017-01-27T09:39:50.197+0100,21.16045642,42.65917862,94.09
2017-01-27T09:39:51.367+0100,21.1604491,42.65919228,96.52
2017-01-27T09:39:52.517+0100,21.16044669,42.6592091,97.23
2017-01-27T09:39:53.678+0100,21.16044908,42.65923035,97.58
2017-01-27T09:39:54.817+0100,21.16044559,42.65924782,89.67
2017-01-27T09:39:55.974+0100,21.16045108,42.65926922,87.33
2017-01-27T09:39:57.160+0100,21.16046056,42.65929758,87.33
2017-01-27T09:39:58.263+0100,21.16046375,42.65931308,80.18
2017-01-27T09:39:59.417+0100,21.16046252,42.65933191,81.78
2017-01-27T09:40:00.528+0100,21.16046693,42.65934805,84.7
2017-01-27T09:40:01.683+0100,21.16046961,42.65935948,88.33
2017-01-27T09:40:02.814+0100,21.16047749,42.65937136,87.33
2017-01-27T09:40:03.992+0100,21.16048338,42.65938056,88.66
2017-01-27T09:40:05.164+0100,21.16049136,42.65940127,89.33
2017-01-27T09:40:06.279+0100,21.16050426,42.65941397,86.67
2017-01-27T09:40:07.451+0100,21.16051218,42.65942534,92.38
2017-01-27T09:40:08.609+0100,21.16052174,42.65944216,97.23
2017-01-27T09:40:09.726+0100,21.16052849,42.65945591,97.23
2017-01-27T09:40:10.902+0100,21.16053341,42.65947043,104.41
2017-01-27T09:40:12.022+0100,21.16053873,42.65948522,107.0
2017-01-27T09:40:13.219+0100,21.16054849,42.65951098,109.64
2017-01-27T09:40:14.363+0100,21.1605537,42.65952032,107.0
2017-01-27T09:40:15.497+0100,21.16055694,42.65952966,109.64
2017-01-27T09:40:16.653+0100,21.1605631,42.65953818,105.14
2017-01-27T09:40:17.795+0100,21.1605734,42.65954974,97.93
2017-01-27T09:40:18.936+0100,21.16057944,42.65956337,101.86
2017-01-27T09:40:20.085+0100,21.16058136,42.65957303,102.22
2017-01-27T09:40:21.253+0100,21.16058749,42.65958936,100.06
2017-01-27T09:40:22.385+0100,21.16058819,42.65959415,101.86
2017-01-27T09:40:23.484+0100,21.16059427,42.65960411,103.68
2017-01-27T09:40:24.663+0100,21.16060009,42.65961147,107.0
2017-01-27T09:40:25.802+0100,21.16060571,42.65961975,100.78
2017-01-27T09:40:26.951+0100,21.16060889,42.65962596,99.7
2017-01-27T09:40:28.107+0100,21.16061164,42.65963537,96.88
2017-01-27T09:40:29.266+0100,21.16062299,42.6596541,98.28
2017-01-27T09:40:30.374+0100,21.16063002,42.65966205,94.09
2017-01-27T09:40:31.515+0100,21.16064224,42.65967064,96.88
2017-01-27T09:40:32.690+0100,21.16064881,42.65967776,98.64
2017-01-27T09:40:33.821+0100,21.160653,42.65968387,102.58
2017-01-27T09:40:35.015+0100,21.16066103,42.65969432,98.99
2017-01-27T09:40:36.100+0100,21.16066256,42.6597019,97.93
2017-01-27T09:40:37.275+0100,21.1606702,42.65971774,98.64
2017-01-27T09:40:38.431+0100,21.1606795,42.65972196,96.88
2017-01-27T09:40:39.577+0100,21.16068748,42.65973101,96.88
2017-01-27T09:40:40.707+0100,21.16068806,42.65974463,98.28
2017-01-27T09:40:41.892+0100,21.16069405,42.6597527,107.75
2017-01-27T09:40:42.981+0100,21.16070071,42.65976173,100.42
2017-01-27T09:40:44.134+0100,21.16071268,42.65978195,104.78
2017-01-27T09:40:45.320+0100,21.16072008,42.65979549,96.52
2017-01-27T09:40:46.421+0100,21.160726,42.65980616,91.7
2017-01-27T09:40:47.585+0100,21.16073229,42.65981541,96.52
2017-01-27T09:40:48.749+0100,21.16073582,42.65982472,97.93
2017-01-27T09:40:49.879+0100,21.16074362,42.659832,100.42
2017-01-27T09:40:51.044+0100,21.1607512,42.65983155,104.04
2017-01-27T09:40:52.215+0100,21.16075717,42.65985554,100.42
2017-01-27T09:40:53.320+0100,21.16076231,42.65986459,93.06
2017-01-27T09:40:54.452+0100,21.16076429,42.6598778,91.02
2017-01-27T09:40:55.661+0100,21.16076985,42.65988115,90.68
