sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961086FE,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-01-30T15:14:56.059+0100,21.16431519,42.66354605,102.22
2017-01-30T15:14:57.238+0100,21.16422269,42.66348873,101.86
2017-01-30T15:14:58.411+0100,21.16417403,42.66351986,103.68
2017-01-30T15:14:59.563+0100,21.16415873,42.66353247,101.5
2017-01-30T15:15:00.730+0100,21.16414958,42.66353586,104.04
2017-01-30T15:15:01.883+0100,21.16412781,42.66352431,105.51
2017-01-30T15:15:03.046+0100,21.16411846,42.66352728,102.22
2017-01-30T15:15:04.238+0100,21.16409763,42.66352463,99.7
2017-01-30T15:15:05.400+0100,21.16406086,42.66351793,102.22
2017-01-30T15:15:06.574+0100,21.16405836,42.66351474,98.64
2017-01-30T15:15:07.729+0100,21.16403989,42.66351328,101.5
2017-01-30T15:15:08.913+0100,21.16402288,42.66350301,103.68
2017-01-30T15:15:10.068+0100,21.1640087,42.66349356,107.38
2017-01-30T15:15:11.216+0100,21.16400092,42.66348875,104.41
2017-01-30T15:15:12.385+0100,21.16397008,42.66347122,107.38
2017-01-30T15:15:13.558+0100,21.16395961,42.66346465,109.26
2017-01-30T15:15:14.709+0100,21.16394958,42.66345688,106.63
2017-01-30T15:15:15.912+0100,21.1639299,42.66344703,112.72
2017-01-30T15:15:17.036+0100,21.16390984,42.66344102,112.33
2017-01-30T15:15:18.228+0100,21.16389625,42.66343648,108.88
2017-01-30T15:15:19.408+0100,21.16387899,42.66342218,107.38
2017-01-30T15:15:20.581+0100,21.16386459,42.66341358,108.88
2017-01-30T15:15:21.715+0100,21.1638672,42.6634041,117.88
2017-01-30T15:15:22.909+0100,21.16385763,42.66339606,117.47
2017-01-30T15:15:24.028+0100,21.16384527,42.66338858,110.79
2017-01-30T15:15:25.257+0100,21.1638332,42.6633813,112.72
2017-01-30T15:15:26.401+0100,21.1638122,42.66336439,116.27
2017-01-30T15:15:27.560+0100,21.16380139,42.66335575,113.11
2017-01-30T15:15:28.700+0100,21.16379645,42.66334646,119.1
2017-01-30T15:15:29.950+0100,21.16379124,42.66333614,115.08
2017-01-30T15:15:31.058+0100,21.16378243,42.66332899,121.57
2017-01-30T15:15:32.237+0100,21.1637754,42.66331828,115.47
2017-01-30T15:15:33.395+0100,21.1637687,42.66330221,117.47
2017-01-30T15:15:34.575+0100,21.1637639,42.66329426,115.47
2017-01-30T15:15:35.725+0100,21.16375654,42.66328531,118.28
2017-01-30T15:15:36.908+0100,21.16375092,42.66327514,113.11
2017-01-30T15:15:38.055+0100,21.1637517,42.66326825,116.27
2017-01-30T15:15:39.287+0100,21.1637526,42.66326504,116.27
2017-01-30T15:15:40.410+0100,21.16373701,42.66324021,117.88
2017-01-30T15:15:41.544+0100,21.16372361,42.66323535,117.07
2017-01-30T15:15:42.774+0100,21.16371597,42.66322372,115.87
2017-01-30T15:15:43.918+0100,21.16371092,42.66321573,121.16
2017-01-30T15:15:45.093+0100,21.16370196,42.66320228,116.67
2017-01-30T15:15:46.231+0100,21.16369846,42.66318475,106.26
2017-01-30T15:15:47.411+0100,21.1636875,42.66317036,108.88
2017-01-30T15:15:48.626+0100,21.16367713,42.66316216,106.26
2017-01-30T15:15:49.733+0100,21.1636668,42.66315058,105.88
2017-01-30T15:15:50.886+0100,21.16365606,42.66314104,101.86
2017-01-30T15:15:52.065+0100,21.16364585,42.66312952,107.0
2017-01-30T15:15:53.238+0100,21.16363585,42.66312221,105.14
2017-01-30T15:15:54.422+0100,21.16362186,42.66310134,107.75
2017-01-30T15:15:55.575+0100,21.16361246,42.66309311,104.78
2017-01-30T15:15:56.750+0100,21.16360704,42.66308379,104.41
2017-01-30T15:15:57.908+0100,21.16359791,42.66307051,101.86
2017-01-30T15:15:59.056+0100,21.1635903,42.66305998,98.99
2017-01-30T15:16:00.253+0100,21.1635818,42.66305099,98.28
2017-01-30T15:16:01.391+0100,21.16357174,42.66302652,102.22
2017-01-30T15:16:02.578+0100,21.16356749,42.66301712,102.58
2017-01-30T15:16:03.701+0100,21.16355934,42.66300592,103.31
2017-01-30T15:16:04.913+0100,21.16354997,42.66299007,104.04
2017-01-30T15:16:06.120+0100,21.16354374,42.66298188,105.14
2017-01-30T15:16:07.236+0100,21.16353869,42.66297248,110.41
2017-01-30T15:16:08.403+0100,21.16353696,42.662959,117.07
2017-01-30T15:16:09.605+0100,21.16353194,42.6629504,113.89
2017-01-30T15:16:10.694+0100,21.16352534,42.66294122,100.42
2017-01-30T15:16:11.920+0100,21.16351976,42.6629261,106.63
2017-01-30T15:16:13.075+0100,21.16350567,42.66291553,101.86
2017-01-30T15:16:14.257+0100,21.16349442,42.66290381,98.28
2017-01-30T15:16:15.414+0100,21.16348332,42.66288715,102.58
2017-01-30T15:16:16.578+0100,21.16347333,42.66287805,99.7
2017-01-30T15:16:17.769+0100,21.16346424,42.66287094,97.58
2017-01-30T15:16:18.925+0100,21.16345296,42.66286336,98.99
2017-01-30T15:16:20.073+0100,21.16344204,42.66285631,100.78
2017-01-30T15:16:21.251+0100,21.163433,42.66284635,97.93
2017-01-30T15:16:22.399+0100,21.16341192,42.66282412,98.99
2017-01-30T15:16:23.591+0100,21.16340461,42.66281422,104.04
2017-01-30T15:16:24.748+0100,21.16340493,42.66280104,105.14
2017-01-30T15:16:25.901+0100,21.16339339,42.66279144,102.22
2017-01-30T15:16:27.118+0100,21.16338711,42.66278182,103.31
2017-01-30T15:16:28.241+0100,21.16337637,42.66277074,101.86
2017-01-30T15:16:29.414+0100,21.16336011,42.66275492,98.64
2017-01-30T15:16:30.578+0100,21.16335717,42.66274342,93.4
2017-01-30T15:16:31.744+0100,21.16335248,42.66273148,100.42
2017-01-30T15:16:32.924+0100,21.1633378,42.66272405,98.28
2017-01-30T15:16:34.097+0100,21.16332834,42.66271211,96.17
2017-01-30T15:16:35.253+0100,21.16332175,42.66270281,101.86
2017-01-30T15:16:36.401+0100,21.1633018,42.66268121,97.93
2017-01-30T15:16:37.615+0100,21.16329664,42.66267096,97.93
2017-01-30T15:16:38.743+0100,21.16329223,42.66266046,102.95
2017-01-30T15:16:39.950+0100,21.16328279,42.66265078,103.68
2017-01-30T15:16:41.084+0100,21.16327281,42.6626426,101.5
2017-01-30T15:16:42.273+0100,21.16326312,42.66263244,100.06
2017-01-30T15:16:43.389+0100,21.16324651,42.6626114,96.52
2017-01-30T15:16:44.620+0100,21.16323554,42.66259811,96.17
2017-01-30T15:16:45.790+0100,21.16322143,42.66258879,99.35
2017-01-30T15:16:46.943+0100,21.16320868,42.66257886,98.28
2017-01-30T15:16:48.049+0100,21.16320158,42.66256848,97.58
2017-01-30T15:16:49.260+0100,21.16319293,42.66256135,98.99
2017-01-30T15:16:50.413+0100,21.16317487,42.66254043,93.75
2017-01-30T15:16:51.645+0100,21.16316675,42.66252912,95.13
2017-01-30T15:16:52.743+0100,21.16315687,42.66251748,92.72
2017-01-30T15:16:53.930+0100,21.16314608,42.66250752,95.48
2017-01-30T15:16:55.078+0100,21.16313753,42.66249831,93.4
2017-01-30T15:16:56.262+0100,21.16312451,42.66248974,104.04
2017-01-30T15:16:57.495+0100,21.16310527,42.66246624,104.78
2017-01-30T15:16:58.594+0100,21.16309537,42.6624587,98.99
2017-01-30T15:16:59.754+0100,21.16307826,42.66244768,102.58
2017-01-30T15:17:00.932+0100,21.16307155,42.66243592,104.04
2017-01-30T15:17:02.109+0100,21.16306055,42.66242563,98.64
2017-01-30T15:17:03.348+0100,21.16305268,42.66241633,100.78
2017-01-30T15:17:04.420+0100,21.16303654,42.66239595,102.22
2017-01-30T15:17:05.576+0100,21.16302522,42.66239053,104.41
2017-01-30T15:17:06.714+0100,21.16301841,42.66238226,105.51
2017-01-30T15:17:07.930+0100,21.16300983,42.66237328,101.14
2017-01-30T15:17:09.076+0100,21.16299579,42.66236127,97.58
2017-01-30T15:17:10.245+0100,21.16298604,42.66235005,104.78
2017-01-30T15:17:11.424+0100,21.16296366,42.66232526,111.94
2017-01-30T15:17:12.578+0100,21.1629576,42.66231424,111.94
2017-01-30T15:17:13.785+0100,21.16295099,42.66230788,111.94
2017-01-30T15:17:14.910+0100,21.16294634,42.662299,107.75
2017-01-30T15:17:16.054+0100,21.16294104,42.66228975,109.64
2017-01-30T15:17:17.291+0100,21.16293336,42.66228316,106.63
2017-01-30T15:17:18.432+0100,21.16292264,42.66226226,104.04
2017-01-30T15:17:19.588+0100,21.1629182,42.66225044,98.28
2017-01-30T15:17:20.758+0100,21.16291664,42.66223679,99.35
2017-01-30T15:17:21.924+0100,21.16290599,42.66222643,95.83
2017-01-30T15:17:23.080+0100,21.16289956,42.66221491,99.35
2017-01-30T15:17:24.250+0100,21.16288784,42.66220637,100.78
2017-01-30T15:17:25.403+0100,21.16286688,42.66218795,96.88
2017-01-30T15:17:26.612+0100,21.16285342,42.66217631,99.35
2017-01-30T15:17:27.735+0100,21.16283926,42.66217048,97.58
