sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961051B5,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2016-10-24T15:44:12.715+0200,21.16714751,42.64453814,47.83
2016-10-24T15:44:13.839+0200,21.16712967,42.64451934,49.49
2016-10-24T15:44:15.026+0200,21.16711762,42.64446809,47.36
2016-10-24T15:44:16.174+0200,21.16709985,42.64445612,48.06
2016-10-24T15:44:17.365+0200,21.16710281,42.64443386,42.0
2016-10-24T15:44:18.490+0200,21.16710005,42.64441779,43.51
2016-10-24T15:44:19.692+0200,21.1671073,42.64440231,47.36
2016-10-24T15:44:20.851+0200,21.1671132,42.64438566,52.95
2016-10-24T15:44:22.002+0200,21.16713051,42.64436679,44.4
2016-10-24T15:44:23.239+0200,21.16712825,42.64435337,41.37
2016-10-24T15:44:24.408+0200,21.16714203,42.64433788,45.97
2016-10-24T15:44:25.491+0200,21.16715124,42.64431779,47.12
2016-10-24T15:44:26.678+0200,21.16714696,42.64427931,54.47
2016-10-24T15:44:27.856+0200,21.16714897,42.64425452,52.19
2016-10-24T15:44:29.046+0200,21.16713892,42.64420239,52.44
2016-10-24T15:44:30.186+0200,21.16716002,42.64417584,51.69
2016-10-24T15:44:31.356+0200,21.1671679,42.64414879,54.73
2016-10-24T15:44:32.565+0200,21.16716214,42.64413395,50.95
2016-10-24T15:44:33.710+0200,21.16716388,42.64410195,50.46
2016-10-24T15:44:34.834+0200,21.16716206,42.64406213,65.07
2016-10-24T15:44:36.054+0200,21.16714175,42.64397049,66.22
2016-10-24T15:44:37.157+0200,21.16713848,42.64394533,60.87
2016-10-24T15:44:38.344+0200,21.16712327,42.64390703,60.32
2016-10-24T15:44:39.575+0200,21.16711525,42.64385259,62.53
2016-10-24T15:44:40.737+0200,21.16708773,42.64382556,65.07
2016-10-24T15:44:41.855+0200,21.16706207,42.64380288,59.77
2016-10-24T15:44:43.024+0200,21.16702017,42.64376365,55.51
2016-10-24T15:44:44.182+0200,21.16698698,42.64373647,54.47
2016-10-24T15:44:45.375+0200,21.16696136,42.64372288,49.25
2016-10-24T15:44:46.517+0200,21.1669476,42.64370216,51.69
2016-10-24T15:44:47.731+0200,21.1669361,42.64369131,54.99
2016-10-24T15:44:48.837+0200,21.16691721,42.64368647,52.69
2016-10-24T15:44:50.065+0200,21.1668849,42.64367338,50.46
2016-10-24T15:44:51.192+0200,21.16687438,42.64367368,57.08
2016-10-24T15:44:52.351+0200,21.16685494,42.64366358,58.42
2016-10-24T15:44:53.529+0200,21.16683393,42.64364882,51.69
2016-10-24T15:44:54.689+0200,21.16679806,42.64362273,46.89
2016-10-24T15:44:55.840+0200,21.16674924,42.64354165,48.77
2016-10-24T15:44:57.036+0200,21.16666175,42.64349333,50.46
2016-10-24T15:44:58.169+0200,21.16662201,42.64345085,47.83
2016-10-24T15:44:59.362+0200,21.16656476,42.64341639,43.51
2016-10-24T15:45:00.524+0200,21.1665045,42.64340519,42.86
2016-10-24T15:45:01.718+0200,21.16643978,42.64338307,44.84
2016-10-24T15:45:02.850+0200,21.16637814,42.64335138,46.43
2016-10-24T15:45:04.021+0200,21.16623316,42.64322943,45.29
2016-10-24T15:45:05.189+0200,21.16616605,42.64318394,46.2
2016-10-24T15:45:06.331+0200,21.16610161,42.64315284,39.31
2016-10-24T15:45:07.530+0200,21.16601971,42.64311987,41.58
2016-10-24T15:45:08.687+0200,21.1659539,42.64306444,42.65
2016-10-24T15:45:09.840+0200,21.16586104,42.64302576,45.97
2016-10-24T15:45:11.008+0200,21.16578656,42.64294198,42.0
2016-10-24T15:45:12.148+0200,21.16573951,42.64291336,40.54
2016-10-24T15:45:13.355+0200,21.16575108,42.64292818,36.02
2016-10-24T15:45:14.501+0200,21.16576301,42.64290966,40.74
2016-10-24T15:45:15.689+0200,21.16573884,42.64288664,44.4
2016-10-24T15:45:16.831+0200,21.16573025,42.64284929,47.59
