sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961061B2,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2016-09-02T10:38:24.687+0200,21.16071442,42.65880642,24.46
2016-09-02T10:38:25.820+0200,21.16071252,42.65879982,24.46
2016-09-02T10:38:27.020+0200,21.16069654,42.65880457,27.09
2016-09-02T10:38:28.161+0200,21.16069365,42.65880431,25.87
2016-09-02T10:38:29.371+0200,21.16069067,42.65880513,26.13
2016-09-02T10:38:30.512+0200,21.16069374,42.65881145,27.09
2016-09-02T10:38:31.687+0200,21.16068203,42.65881992,26.68
2016-09-02T10:38:32.862+0200,21.16067602,42.65882436,25.87
2016-09-02T10:38:34.023+0200,21.16066532,42.65883167,25.6
2016-09-02T10:38:35.218+0200,21.16066004,42.65883672,26.13
2016-09-02T10:38:36.355+0200,21.1606479,42.658838,24.96
2016-09-02T10:38:37.502+0200,21.16064301,42.65884464,24.33
2016-09-02T10:38:38.735+0200,21.16064502,42.65885536,24.21
2016-09-02T10:38:39.828+0200,21.16064319,42.65886168,24.46
2016-09-02T10:38:41.071+0200,21.16064319,42.65886168,24.46
2016-09-02T10:38:42.151+0200,21.16064319,42.65886168,24.58
2016-09-02T10:38:43.348+0200,21.16064319,42.65886168,24.71
2016-09-02T10:38:44.503+0200,21.16064319,42.65886168,24.71
2016-09-02T10:38:45.691+0200,21.16064319,42.65886168,24.83
2016-09-02T10:38:46.812+0200,21.16064319,42.65886168,25.09
2016-09-02T10:38:48.036+0200,21.16059697,42.65893194,24.09
2016-09-02T10:38:49.166+0200,21.1605918,42.65895193,24.96
2016-09-02T10:38:50.330+0200,21.16059599,42.65898161,25.34
2016-09-02T10:38:51.486+0200,21.16058332,42.65900793,25.6
2016-09-02T10:38:52.776+0200,21.16058354,42.65901243,25.6
2016-09-02T10:38:53.833+0200,21.16058728,42.65901585,24.58
2016-09-02T10:38:54.992+0200,21.16058444,42.65902101,23.36
2016-09-02T10:38:56.165+0200,21.16058436,42.65902802,24.58
2016-09-02T10:38:57.331+0200,21.16059149,42.65903899,24.46
2016-09-02T10:38:58.500+0200,21.16059192,42.65904572,25.09
2016-09-02T10:38:59.682+0200,21.16059399,42.65905855,24.46
2016-09-02T10:39:00.870+0200,21.16059105,42.65906596,23.84
2016-09-02T10:39:02.016+0200,21.1605926,42.65906956,23.36
2016-09-02T10:39:03.163+0200,21.16059338,42.65906902,23.36
2016-09-02T10:39:04.341+0200,21.16059393,42.65907282,23.48
2016-09-02T10:39:05.466+0200,21.1605941,42.65907266,21.99
2016-09-02T10:39:06.697+0200,21.16059451,42.65906808,21.67
2016-09-02T10:39:07.825+0200,21.16059208,42.65907013,21.99
2016-09-02T10:39:09.003+0200,21.16058744,42.65907289,23.01
2016-09-02T10:39:10.145+0200,21.16058227,42.65906866,23.13
2016-09-02T10:39:11.352+0200,21.1605982,42.65906522,24.96
2016-09-02T10:39:12.496+0200,21.16060169,42.65906941,24.71
2016-09-02T10:39:13.726+0200,21.16059725,42.65907111,25.21
2016-09-02T10:39:14.841+0200,21.16059693,42.6590748,25.09
2016-09-02T10:39:16.011+0200,21.1606047,42.65907693,26.27
2016-09-02T10:39:17.198+0200,21.16060412,42.65907789,25.6
2016-09-02T10:39:18.375+0200,21.1606055,42.65907694,24.33
2016-09-02T10:39:19.508+0200,21.16060586,42.65907699,25.74
2016-09-02T10:39:20.667+0200,21.16060653,42.65907689,26.81
2016-09-02T10:39:21.821+0200,21.16060524,42.65907669,28.53
2016-09-02T10:39:23.000+0200,21.16060436,42.65907663,26.54
2016-09-02T10:39:24.147+0200,21.16060379,42.65907658,26.4
2016-09-02T10:39:25.333+0200,21.16060333,42.65907658,26.95
2016-09-02T10:39:26.507+0200,21.16060274,42.65907655,27.37
2016-09-02T10:39:27.681+0200,21.16059704,42.65906333,28.82
2016-09-02T10:39:28.830+0200,21.16059605,42.65906203,29.27
2016-09-02T10:39:30.016+0200,21.16059251,42.65906196,27.8
2016-09-02T10:39:31.127+0200,21.16059459,42.65906664,27.66
2016-09-02T10:39:32.300+0200,21.16058396,42.65906455,28.38
2016-09-02T10:39:33.492+0200,21.16056779,42.65906202,26.81
2016-09-02T10:39:34.657+0200,21.16057161,42.65906996,26.4
2016-09-02T10:39:35.823+0200,21.16057115,42.65907389,25.87
2016-09-02T10:39:37.046+0200,21.16057056,42.6590767,26.81
2016-09-02T10:39:38.194+0200,21.16056923,42.65907962,28.09
2016-09-02T10:39:39.335+0200,21.16056317,42.65907774,26.54
2016-09-02T10:39:40.511+0200,21.16055835,42.65907776,26.95
2016-09-02T10:39:41.676+0200,21.16055255,42.6590784,25.47
2016-09-02T10:39:42.820+0200,21.16055094,42.65907833,24.58
2016-09-02T10:39:43.996+0200,21.16054883,42.65907852,23.96
2016-09-02T10:39:45.148+0200,21.1605725,42.65908553,25.09
2016-09-02T10:39:46.345+0200,21.16057187,42.65909031,25.09
2016-09-02T10:39:47.470+0200,21.16057085,42.65909808,26.68
2016-09-02T10:39:48.717+0200,21.16057121,42.65909794,26.4
2016-09-02T10:39:49.856+0200,21.16056616,42.65909827,24.58
2016-09-02T10:39:51.007+0200,21.16055819,42.65909752,24.83
