sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961061B2,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2016-09-09T11:13:20.812+0200,21.16088852,42.66002873,36.02
2016-09-09T11:13:21.975+0200,21.1608346,42.66006591,36.02
2016-09-09T11:13:23.150+0200,21.16088894,42.66011712,38.32
2016-09-09T11:13:24.327+0200,21.16090214,42.66014941,39.11
2016-09-09T11:13:25.467+0200,21.16086216,42.6600989,40.12
2016-09-09T11:13:26.641+0200,21.16085359,42.6601025,42.43
2016-09-09T11:13:27.825+0200,21.16086757,42.66010287,41.79
2016-09-09T11:13:28.979+0200,21.16088137,42.66010503,42.43
2016-09-09T11:13:30.157+0200,21.16089765,42.66010957,41.16
2016-09-09T11:13:31.316+0200,21.16089301,42.66012393,41.16
2016-09-09T11:13:32.506+0200,21.16091039,42.66013248,40.74
2016-09-09T11:13:33.660+0200,21.16092029,42.66013745,39.72
2016-09-09T11:13:34.820+0200,21.16092585,42.66014204,38.91
2016-09-09T11:13:35.962+0200,21.16093627,42.66014686,40.54
2016-09-09T11:13:37.139+0200,21.16095136,42.66015449,37.93
2016-09-09T11:13:38.282+0200,21.1609575,42.66017131,37.15
2016-09-09T11:13:39.508+0200,21.16098003,42.66020268,37.54
2016-09-09T11:13:40.645+0200,21.16098926,42.66020825,39.11
2016-09-09T11:13:41.794+0200,21.16099278,42.6602263,37.93
2016-09-09T11:13:42.997+0200,21.16100448,42.66025112,39.51
2016-09-09T11:13:44.135+0200,21.16101423,42.66027036,40.95
2016-09-09T11:13:45.315+0200,21.16102505,42.66028097,40.95
2016-09-09T11:13:46.503+0200,21.1610414,42.66031337,40.12
2016-09-09T11:13:47.616+0200,21.16105004,42.66032704,38.51
2016-09-09T11:13:48.825+0200,21.16105882,42.66035171,38.91
2016-09-09T11:13:49.950+0200,21.16107021,42.66037372,38.91
2016-09-09T11:13:51.146+0200,21.16108276,42.66039668,39.72
2016-09-09T11:13:52.296+0200,21.1610838,42.66041172,39.11
2016-09-09T11:13:53.496+0200,21.16110146,42.66044951,37.93
2016-09-09T11:13:54.620+0200,21.16109962,42.66043662,39.11
2016-09-09T11:13:55.845+0200,21.1610997,42.66043635,38.12
2016-09-09T11:13:56.986+0200,21.16110097,42.66043814,37.54
2016-09-09T11:13:58.149+0200,21.16109706,42.66043581,38.51
2016-09-09T11:13:59.317+0200,21.16109578,42.66042593,39.11
2016-09-09T11:14:00.529+0200,21.16110622,42.66042107,38.71
2016-09-09T11:14:01.686+0200,21.16110756,42.66042309,37.93
2016-09-09T11:14:02.830+0200,21.16111112,42.66042479,38.12
2016-09-09T11:14:03.998+0200,21.16110967,42.66042166,38.12
2016-09-09T11:14:05.150+0200,21.16110811,42.66041711,40.54
2016-09-09T11:14:06.294+0200,21.16110454,42.66041521,39.51
2016-09-09T11:14:07.486+0200,21.16110335,42.66040875,38.32
2016-09-09T11:14:08.645+0200,21.16110383,42.66040827,37.34
2016-09-09T11:14:09.850+0200,21.16110425,42.66041371,39.72
2016-09-09T11:14:10.999+0200,21.16111128,42.66042205,39.72
2016-09-09T11:14:12.146+0200,21.16112252,42.66043082,40.74
2016-09-09T11:14:13.280+0200,21.16113028,42.66044131,40.95
2016-09-09T11:14:14.511+0200,21.16115455,42.66046769,41.37
2016-09-09T11:14:15.656+0200,21.16116582,42.66047454,42.22
2016-09-09T11:14:16.799+0200,21.16117251,42.66048354,42.43
2016-09-09T11:14:17.947+0200,21.16118126,42.66049192,39.92
2016-09-09T11:14:19.131+0200,21.16119745,42.66050044,39.31
2016-09-09T11:14:20.307+0200,21.16120702,42.66050752,42.22
2016-09-09T11:14:21.490+0200,21.16123355,42.66052682,41.58
2016-09-09T11:14:22.631+0200,21.16124779,42.66053767,41.16
2016-09-09T11:14:23.801+0200,21.16125822,42.66055005,40.33
2016-09-09T11:14:24.947+0200,21.16127279,42.66056268,39.51
2016-09-09T11:14:26.182+0200,21.16128112,42.66057082,38.32
2016-09-09T11:14:27.300+0200,21.16128815,42.66058043,40.95
2016-09-09T11:14:28.486+0200,21.16130376,42.66061203,43.08
2016-09-09T11:14:29.634+0200,21.16130803,42.66062795,43.51
2016-09-09T11:14:30.778+0200,21.16131602,42.66064203,42.86
2016-09-09T11:14:31.945+0200,21.16132725,42.66065416,41.58
2016-09-09T11:14:33.142+0200,21.16134088,42.66066526,41.16
2016-09-09T11:14:34.299+0200,21.16135078,42.660677,40.74
2016-09-09T11:14:35.476+0200,21.16137565,42.66069743,40.95
2016-09-09T11:14:36.620+0200,21.16138158,42.66070754,41.16
2016-09-09T11:14:37.826+0200,21.16139062,42.66071441,39.51
2016-09-09T11:14:38.975+0200,21.16140469,42.6607217,37.54
2016-09-09T11:14:40.124+0200,21.16141607,42.66072768,37.34
2016-09-09T11:14:41.311+0200,21.16142789,42.66073979,37.15
2016-09-09T11:14:42.465+0200,21.16144669,42.66076798,39.11
2016-09-09T11:14:43.627+0200,21.16145584,42.66078329,38.71
2016-09-09T11:14:44.790+0200,21.16146668,42.66079689,37.93
2016-09-09T11:14:45.986+0200,21.16148069,42.66081362,36.96
2016-09-09T11:14:47.160+0200,21.16149159,42.66082489,38.51
