sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961061B2,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2016-09-23T14:23:45.163+0200,21.161326,42.66037854,12.38
2016-09-23T14:23:46.314+0200,21.1613202,42.66038036,11.93
2016-09-23T14:23:47.481+0200,21.16132008,42.66038252,12.38
2016-09-23T14:23:48.672+0200,21.16131661,42.66038092,12.08
2016-09-23T14:23:49.856+0200,21.16131485,42.66037992,11.71
2016-09-23T14:23:50.988+0200,21.16131425,42.66037944,11.56
2016-09-23T14:23:52.173+0200,21.16131379,42.6603791,11.86
2016-09-23T14:23:53.305+0200,21.16131344,42.66037889,12.75
2016-09-23T14:23:54.502+0200,21.16131328,42.66037861,13.12
2016-09-23T14:23:55.642+0200,21.16131323,42.6603778,12.82
2016-09-23T14:23:56.832+0200,21.16130747,42.66037035,12.23
2016-09-23T14:23:57.986+0200,21.16130305,42.66036949,12.08
2016-09-23T14:23:59.165+0200,21.16129432,42.66036543,12.15
2016-09-23T14:24:00.345+0200,21.16129213,42.66036194,13.49
2016-09-23T14:24:01.551+0200,21.16129032,42.66036141,13.87
2016-09-23T14:24:02.660+0200,21.16128624,42.6603666,14.33
2016-09-23T14:24:03.810+0200,21.16128696,42.6603714,14.25
2016-09-23T14:24:04.951+0200,21.16128456,42.66037313,13.42
2016-09-23T14:24:06.154+0200,21.1612836,42.66037414,13.42
2016-09-23T14:24:07.332+0200,21.16128109,42.6603747,12.9
2016-09-23T14:24:08.531+0200,21.16127519,42.66037888,13.42
2016-09-23T14:24:09.661+0200,21.16127531,42.66038578,14.02
2016-09-23T14:24:10.799+0200,21.16126636,42.66039042,13.05
2016-09-23T14:24:11.938+0200,21.1612569,42.66039302,12.52
2016-09-23T14:24:13.146+0200,21.1612507,42.66040419,12.45
2016-09-23T14:24:14.348+0200,21.16124596,42.66041124,13.12
2016-09-23T14:24:15.493+0200,21.16124536,42.66041445,13.05
2016-09-23T14:24:16.641+0200,21.1612467,42.66043196,12.67
2016-09-23T14:24:17.837+0200,21.16124756,42.66043989,12.52
2016-09-23T14:24:18.963+0200,21.16124638,42.66044703,11.93
2016-09-23T14:24:20.162+0200,21.16124997,42.66045257,11.93
2016-09-23T14:24:21.288+0200,21.16125131,42.66045859,12.45
2016-09-23T14:24:22.469+0200,21.16125043,42.66046691,14.1
2016-09-23T14:24:23.614+0200,21.16125219,42.66047357,17.94
2016-09-23T14:24:24.861+0200,21.16125226,42.66048777,21.67
2016-09-23T14:24:25.943+0200,21.16125232,42.66049264,22.55
2016-09-23T14:24:27.131+0200,21.16125454,42.6605012,23.6
2016-09-23T14:24:28.313+0200,21.16125392,42.66050615,25.21
2016-09-23T14:24:29.470+0200,21.16125635,42.66050769,26.54
2016-09-23T14:24:30.643+0200,21.1612555,42.66050838,28.38
2016-09-23T14:24:31.789+0200,21.16125731,42.66050991,27.51
2016-09-23T14:24:32.987+0200,21.1612576,42.660509,27.66
2016-09-23T14:24:34.146+0200,21.16125551,42.66051016,26.4
2016-09-23T14:24:35.312+0200,21.16125432,42.66051068,26.0
2016-09-23T14:24:36.488+0200,21.16125379,42.66050969,23.25
2016-09-23T14:24:37.666+0200,21.16125154,42.66050644,22.78
2016-09-23T14:24:38.803+0200,21.16125398,42.66050379,22.78
2016-09-23T14:24:39.986+0200,21.16125573,42.66050277,21.56
2016-09-23T14:24:41.155+0200,21.16125298,42.66050437,20.31
2016-09-23T14:24:42.308+0200,21.16125196,42.66050633,19.81
2016-09-23T14:24:43.486+0200,21.16125323,42.66050818,19.81
2016-09-23T14:24:44.662+0200,21.16124795,42.66050618,19.23
2016-09-23T14:24:45.833+0200,21.16124931,42.66050788,18.76
2016-09-23T14:24:46.981+0200,21.16124836,42.66050855,18.21
2016-09-23T14:24:48.139+0200,21.16124773,42.66050865,17.58
2016-09-23T14:24:49.313+0200,21.16124613,42.66050816,17.15
2016-09-23T14:24:50.488+0200,21.16124415,42.66050768,17.15
2016-09-23T14:24:51.662+0200,21.16124462,42.66051388,16.9
2016-09-23T14:24:52.803+0200,21.16124756,42.66051855,16.9
2016-09-23T14:24:53.956+0200,21.16125072,42.66052706,17.24
2016-09-23T14:24:55.143+0200,21.16125684,42.66053447,16.98
2016-09-23T14:24:56.296+0200,21.16125752,42.66054366,15.98
2016-09-23T14:24:57.505+0200,21.16125685,42.66054991,15.74
2016-09-23T14:24:58.688+0200,21.16126173,42.66056877,15.26
2016-09-23T14:24:59.810+0200,21.16126938,42.66057853,15.42
2016-09-23T14:25:00.960+0200,21.16127735,42.66058508,15.11
2016-09-23T14:25:02.144+0200,21.16128446,42.66059264,14.1
2016-09-23T14:25:03.381+0200,21.16129152,42.66060025,13.87
2016-09-23T14:25:04.478+0200,21.16129591,42.66060778,13.12
2016-09-23T14:25:05.615+0200,21.16131165,42.66062173,12.15
2016-09-23T14:25:06.807+0200,21.16132115,42.66062797,12.08
2016-09-23T14:25:07.949+0200,21.16133164,42.66063551,12.75
2016-09-23T14:25:09.122+0200,21.1613399,42.66064315,12.45
2016-09-23T14:25:10.282+0200,21.16134742,42.66065162,13.42
2016-09-23T14:25:11.475+0200,21.16135642,42.66065992,14.02
2016-09-23T14:25:12.618+0200,21.16137577,42.66067072,14.25
