sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961061B2,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2016-09-23T10:53:25.185+0200,21.16107238,42.66030912,13.8
2016-09-23T10:53:26.348+0200,21.16107165,42.66030884,13.72
2016-09-23T10:53:27.531+0200,21.16107067,42.66030843,13.42
2016-09-23T10:53:28.684+0200,21.16106894,42.66030884,14.72
2016-09-23T10:53:29.843+0200,21.16106764,42.66030922,14.1
2016-09-23T10:53:30.993+0200,21.16106384,42.6603099,14.18
2016-09-23T10:53:32.198+0200,21.16106332,42.66031028,13.72
2016-09-23T10:53:33.355+0200,21.16106312,42.6603105,13.27
2016-09-23T10:53:34.503+0200,21.16106307,42.66031064,12.3
2016-09-23T10:53:35.641+0200,21.16106303,42.6603107,11.56
2016-09-23T10:53:36.836+0200,21.16106299,42.66031072,12.0
2016-09-23T10:53:37.992+0200,21.16106298,42.66031078,11.86
2016-09-23T10:53:39.182+0200,21.16107717,42.66031709,11.86
2016-09-23T10:53:40.357+0200,21.16108695,42.66032782,12.08
2016-09-23T10:53:41.487+0200,21.16109757,42.66034309,11.71
2016-09-23T10:53:42.689+0200,21.16110939,42.66035937,11.04
2016-09-23T10:53:43.833+0200,21.16111851,42.66037408,10.89
2016-09-23T10:53:45.021+0200,21.16112902,42.66040253,11.49
2016-09-23T10:53:46.203+0200,21.16113433,42.66041752,11.93
2016-09-23T10:53:47.347+0200,21.16114382,42.66042826,12.08
2016-09-23T10:53:48.537+0200,21.16115261,42.66043917,12.15
2016-09-23T10:53:49.656+0200,21.16116387,42.66045422,12.0
2016-09-23T10:53:50.816+0200,21.16117476,42.66046733,11.71
2016-09-23T10:53:51.992+0200,21.16119326,42.66048843,12.08
2016-09-23T10:53:53.167+0200,21.16120281,42.66050206,12.3
2016-09-23T10:53:54.339+0200,21.16121462,42.66050973,12.15
2016-09-23T10:53:55.477+0200,21.16122639,42.66052194,12.82
2016-09-23T10:53:56.664+0200,21.16123797,42.66053466,12.15
2016-09-23T10:53:57.832+0200,21.16125184,42.66054931,12.9
2016-09-23T10:53:59.001+0200,21.1612767,42.66057397,13.12
2016-09-23T10:54:00.188+0200,21.16128777,42.66058654,13.42
2016-09-23T10:54:01.337+0200,21.16129405,42.66059286,12.67
2016-09-23T10:54:02.522+0200,21.16130488,42.66060278,12.38
2016-09-23T10:54:03.671+0200,21.16131501,42.66060661,12.0
2016-09-23T10:54:04.826+0200,21.16132295,42.6606171,11.41
2016-09-23T10:54:06.035+0200,21.16134326,42.66063323,12.0
2016-09-23T10:54:07.173+0200,21.16135432,42.66064435,11.56
2016-09-23T10:54:08.336+0200,21.16137016,42.66065546,12.67
2016-09-23T10:54:09.477+0200,21.16137221,42.6606625,12.9
2016-09-23T10:54:10.696+0200,21.16138821,42.6606747,12.97
2016-09-23T10:54:11.849+0200,21.16140557,42.66068724,13.8
2016-09-23T10:54:13.021+0200,21.16142273,42.6606972,14.48
2016-09-23T10:54:14.183+0200,21.16143818,42.66070794,15.18
2016-09-23T10:54:15.322+0200,21.16144902,42.66071879,16.48
2016-09-23T10:54:16.489+0200,21.16146205,42.66072667,16.98
2016-09-23T10:54:17.651+0200,21.16147715,42.66073756,18.66
2016-09-23T10:54:18.873+0200,21.16150697,42.66076063,18.76
2016-09-23T10:54:19.984+0200,21.16151895,42.66076728,18.39
2016-09-23T10:54:21.155+0200,21.16153734,42.66077933,18.66
2016-09-23T10:54:22.318+0200,21.16154781,42.66078828,18.94
2016-09-23T10:54:23.487+0200,21.16155418,42.66079439,18.66
2016-09-23T10:54:24.724+0200,21.16155912,42.66080308,18.21
2016-09-23T10:54:25.803+0200,21.16157456,42.66081778,17.94
2016-09-23T10:54:26.984+0200,21.16160142,42.66083869,18.12
2016-09-23T10:54:28.122+0200,21.16161387,42.66084793,16.9
2016-09-23T10:54:29.318+0200,21.16163058,42.66085903,16.48
2016-09-23T10:54:30.575+0200,21.16163786,42.66086721,16.07
2016-09-23T10:54:31.665+0200,21.16165126,42.66087687,15.5
2016-09-23T10:54:32.848+0200,21.16167951,42.66089825,15.74
2016-09-23T10:54:33.978+0200,21.16169572,42.66091165,15.66
2016-09-23T10:54:35.163+0200,21.161707,42.66091971,15.9
2016-09-23T10:54:36.294+0200,21.16172175,42.66092963,15.58
2016-09-23T10:54:37.500+0200,21.16173196,42.66094015,14.41
2016-09-23T10:54:38.675+0200,21.16174254,42.66095265,14.87
2016-09-23T10:54:39.861+0200,21.16177473,42.66097045,15.03
2016-09-23T10:54:40.938+0200,21.1617894,42.66098165,14.64
2016-09-23T10:54:42.115+0200,21.1617945,42.66099238,14.48
2016-09-23T10:54:43.298+0200,21.16180046,42.66100224,13.57
2016-09-23T10:54:44.458+0200,21.16180677,42.66101097,13.49
2016-09-23T10:54:45.664+0200,21.1618152,42.66102824,13.34
2016-09-23T10:54:46.806+0200,21.16182043,42.66104458,13.05
2016-09-23T10:54:47.976+0200,21.16184857,42.66106651,12.82
2016-09-23T10:54:49.156+0200,21.16184736,42.66107885,12.52
2016-09-23T10:54:50.321+0200,21.16184986,42.66109354,12.75
2016-09-23T10:54:51.503+0200,21.1618595,42.66111055,12.3
