sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961086FE,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2016-08-31T15:15:56.629+0200,21.161448,42.6583684,11.93
2016-08-31T15:15:57.813+0200,21.161448,42.6583684,11.49
2016-08-31T15:15:59.041+0200,21.16201587,42.65850211,11.41
2016-08-31T15:16:00.169+0200,21.16186365,42.65847461,12.0
2016-08-31T15:16:01.346+0200,21.16183719,42.65848061,12.52
2016-08-31T15:16:02.477+0200,21.16182824,42.65847575,11.78
2016-08-31T15:16:03.639+0200,21.16181279,42.65847447,11.78
2016-08-31T15:16:04.785+0200,21.16180125,42.65847524,11.49
2016-08-31T15:16:05.989+0200,21.16176869,42.65847564,12.08
2016-08-31T15:16:07.148+0200,21.16175203,42.65847273,12.9
2016-08-31T15:16:08.311+0200,21.16173609,42.65847331,13.19
2016-08-31T15:16:09.463+0200,21.16171404,42.6584748,13.12
2016-08-31T15:16:10.739+0200,21.16170594,42.65847504,14.1
2016-08-31T15:16:11.814+0200,21.16169002,42.65847566,13.65
2016-08-31T15:16:12.985+0200,21.16165805,42.6584619,12.75
2016-08-31T15:16:14.137+0200,21.16164691,42.6584566,12.08
2016-08-31T15:16:15.330+0200,21.16163484,42.65845054,11.78
2016-08-31T15:16:16.589+0200,21.16162379,42.65844562,11.93
2016-08-31T15:16:17.644+0200,21.16161302,42.65844195,12.08
2016-08-31T15:16:18.801+0200,21.16160467,42.65843916,11.71
2016-08-31T15:16:20.004+0200,21.16158475,42.6584368,11.78
2016-08-31T15:16:21.134+0200,21.16157936,42.65843124,11.49
2016-08-31T15:16:22.313+0200,21.16156903,42.6584326,12.23
2016-08-31T15:16:23.474+0200,21.16155249,42.65843523,13.12
2016-08-31T15:16:24.638+0200,21.16153381,42.65843845,13.05
2016-08-31T15:16:25.796+0200,21.16151937,42.65844012,12.9
2016-08-31T15:16:26.986+0200,21.16148924,42.6584434,12.23
2016-08-31T15:16:28.139+0200,21.16147704,42.65844291,12.0
2016-08-31T15:16:29.296+0200,21.16146314,42.65844142,12.08
2016-08-31T15:16:30.445+0200,21.16145604,42.65844218,12.45
2016-08-31T15:16:31.633+0200,21.16145604,42.65844218,12.23
2016-08-31T15:16:32.805+0200,21.16145604,42.65844218,12.97
2016-08-31T15:16:34.005+0200,21.16139298,42.65845049,13.42
2016-08-31T15:16:35.129+0200,21.16137355,42.65844924,12.9
2016-08-31T15:16:36.328+0200,21.16135278,42.65845112,12.52
2016-08-31T15:16:37.453+0200,21.16133287,42.65845365,11.63
2016-08-31T15:16:38.651+0200,21.16131982,42.65845508,11.12
2016-08-31T15:16:39.788+0200,21.16130377,42.65845622,12.3
2016-08-31T15:16:40.979+0200,21.16127,42.65845364,12.3
2016-08-31T15:16:42.133+0200,21.16125098,42.65845674,12.45
2016-08-31T15:16:43.299+0200,21.161238,42.65845897,12.38
2016-08-31T15:16:44.483+0200,21.16122334,42.65846119,13.12
2016-08-31T15:16:45.650+0200,21.1612049,42.65846503,12.6
2016-08-31T15:16:46.816+0200,21.16118837,42.65847322,12.23
2016-08-31T15:16:47.995+0200,21.16115736,42.65847542,13.42
2016-08-31T15:16:49.133+0200,21.16114154,42.65847946,13.42
2016-08-31T15:16:50.295+0200,21.1611253,42.65848271,13.34
2016-08-31T15:16:51.450+0200,21.16110496,42.65848314,12.6
2016-08-31T15:16:52.634+0200,21.16109555,42.65848863,13.05
2016-08-31T15:16:53.793+0200,21.16107579,42.658489,12.97
2016-08-31T15:16:54.943+0200,21.16104098,42.65849381,12.67
2016-08-31T15:16:56.168+0200,21.16102445,42.65849548,12.75
2016-08-31T15:16:57.289+0200,21.16101067,42.65850336,12.45
2016-08-31T15:16:58.454+0200,21.16099302,42.65850571,13.05
2016-08-31T15:16:59.673+0200,21.16097646,42.65850446,13.65
2016-08-31T15:17:00.748+0200,21.16095885,42.65850679,13.12
2016-08-31T15:17:01.969+0200,21.16093174,42.65850777,13.34
2016-08-31T15:17:03.124+0200,21.16091731,42.65850787,13.34
2016-08-31T15:17:04.305+0200,21.16090274,42.65850956,13.87
2016-08-31T15:17:05.466+0200,21.16089365,42.65850946,13.8
2016-08-31T15:17:06.616+0200,21.16087361,42.6585083,13.34
2016-08-31T15:17:07.764+0200,21.16085744,42.65850648,13.95
2016-08-31T15:17:08.949+0200,21.16082362,42.65851105,13.19
2016-08-31T15:17:10.154+0200,21.16080414,42.65851577,13.34
2016-08-31T15:17:11.307+0200,21.16078892,42.65852035,13.65
2016-08-31T15:17:12.437+0200,21.16077987,42.65852302,14.41
2016-08-31T15:17:13.608+0200,21.16077134,42.658529,13.49
2016-08-31T15:17:14.820+0200,21.16076621,42.65853376,13.8
2016-08-31T15:17:15.964+0200,21.16073432,42.65853861,13.95
2016-08-31T15:17:17.110+0200,21.1607156,42.65853975,13.57
2016-08-31T15:17:18.271+0200,21.1606972,42.65854551,14.56
2016-08-31T15:17:19.472+0200,21.16067969,42.65855361,13.65
2016-08-31T15:17:20.629+0200,21.1606711,42.65855553,13.65
2016-08-31T15:17:21.803+0200,21.16065395,42.65855843,12.97
2016-08-31T15:17:22.984+0200,21.16062759,42.65857328,12.9
2016-08-31T15:17:24.107+0200,21.16062188,42.65858224,14.25
2016-08-31T15:17:25.298+0200,21.16061552,42.65859065,14.1
2016-08-31T15:17:26.441+0200,21.160624,42.65859923,14.64
2016-08-31T15:17:27.641+0200,21.16062113,42.65859953,15.34
2016-08-31T15:17:28.800+0200,21.16062473,42.6586096,16.15
2016-08-31T15:17:29.938+0200,21.16061115,42.65861725,15.58
2016-08-31T15:17:31.153+0200,21.16061322,42.65862714,16.31
2016-08-31T15:17:32.268+0200,21.16061267,42.65863214,16.15
2016-08-31T15:17:33.433+0200,21.16061393,42.65864278,15.74
2016-08-31T15:17:34.592+0200,21.16061015,42.65865192,16.39
2016-08-31T15:17:35.769+0200,21.16061221,42.65865839,16.15
2016-08-31T15:17:36.961+0200,21.16061942,42.65867269,15.66
2016-08-31T15:17:38.109+0200,21.16061827,42.65867377,15.11
2016-08-31T15:17:39.276+0200,21.16061483,42.65868084,14.72
2016-08-31T15:17:40.475+0200,21.16061907,42.65868785,15.18
2016-08-31T15:17:41.620+0200,21.16062061,42.65868913,14.87
2016-08-31T15:17:42.759+0200,21.16062313,42.65870003,14.48
2016-08-31T15:17:43.998+0200,21.16063525,42.65872745,14.18
2016-08-31T15:17:45.098+0200,21.16062052,42.65872966,13.8
2016-08-31T15:17:46.293+0200,21.16061099,42.65873417,14.33
2016-08-31T15:17:47.472+0200,21.16060833,42.65874321,15.03
2016-08-31T15:17:48.608+0200,21.16060746,42.65874923,15.82
2016-08-31T15:17:49.762+0200,21.16060582,42.6587605,16.31
2016-08-31T15:17:50.944+0200,21.16058844,42.65877918,16.81
2016-08-31T15:17:52.142+0200,21.16057483,42.658786,16.98
2016-08-31T15:17:53.271+0200,21.16057263,42.65879536,18.12
2016-08-31T15:17:54.471+0200,21.16056956,42.65879149,18.66
2016-08-31T15:17:55.600+0200,21.16057766,42.65879983,18.21
2016-08-31T15:17:56.734+0200,21.1605786,42.65881108,18.48
2016-08-31T15:17:57.991+0200,21.16056294,42.65882693,20.01
2016-08-31T15:17:59.096+0200,21.16055416,42.65883664,19.91
2016-08-31T15:18:00.271+0200,21.16055331,42.65884381,19.81
2016-08-31T15:18:01.438+0200,21.1605539,42.65886025,18.66
2016-08-31T15:18:02.619+0200,21.16055176,42.65887272,19.04
2016-08-31T15:18:03.841+0200,21.16054955,42.65887951,19.71
2016-08-31T15:18:04.940+0200,21.16054328,42.65889739,20.01
2016-08-31T15:18:06.073+0200,21.16052565,42.6589052,19.81
2016-08-31T15:18:07.321+0200,21.16050212,42.65890592,20.61
2016-08-31T15:18:08.437+0200,21.16049706,42.65892003,20.92
2016-08-31T15:18:09.614+0200,21.16048008,42.65893244,20.82
2016-08-31T15:18:10.740+0200,21.16047536,42.65894141,21.13
2016-08-31T15:18:11.934+0200,21.16053792,42.65899301,21.13
2016-08-31T15:18:13.122+0200,21.16056155,42.65900953,21.56
2016-08-31T15:18:14.275+0200,21.16057866,42.65903222,21.24
2016-08-31T15:18:15.438+0200,21.16057433,42.65904247,20.2
2016-08-31T15:18:16.595+0200,21.16058814,42.65906239,19.71
2016-08-31T15:18:17.736+0200,21.16059934,42.65908447,18.94
2016-08-31T15:18:18.967+0200,21.16062512,42.6591158,18.85
2016-08-31T15:18:20.105+0200,21.16062532,42.65911814,20.1
2016-08-31T15:18:21.274+0200,21.16062272,42.6591234,19.04
2016-08-31T15:18:22.439+0200,21.1606201,42.65912482,18.85
2016-08-31T15:18:23.628+0200,21.16061783,42.65912576,19.32
2016-08-31T15:18:24.752+0200,21.16062323,42.65913649,19.91
2016-08-31T15:18:25.951+0200,21.16063059,42.65916177,21.13
2016-08-31T15:18:27.142+0200,21.16063721,42.65917314,22.44
2016-08-31T15:18:28.274+0200,21.16062543,42.65917889,22.78
