sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961061B2,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2016-09-28T15:11:33.301+0200,21.15958144,42.65541646,17.07
2016-09-28T15:11:34.426+0200,21.15957645,42.65540825,17.58
2016-09-28T15:11:35.607+0200,21.15957103,42.65539534,17.41
2016-09-28T15:11:36.757+0200,21.15956819,42.65538959,17.07
2016-09-28T15:11:37.935+0200,21.15956932,42.65538455,17.15
2016-09-28T15:11:39.113+0200,21.159558,42.65535436,17.58
2016-09-28T15:11:40.247+0200,21.15955331,42.65533256,17.67
2016-09-28T15:11:41.426+0200,21.15953879,42.65531465,16.64
2016-09-28T15:11:42.602+0200,21.15953765,42.65529521,15.82
2016-09-28T15:11:43.742+0200,21.15952922,42.65527565,15.98
2016-09-28T15:11:44.947+0200,21.15951606,42.65526736,15.66
2016-09-28T15:11:46.097+0200,21.15949316,42.65524839,15.11
2016-09-28T15:11:47.282+0200,21.15949075,42.65523447,14.72
2016-09-28T15:11:48.436+0200,21.15948253,42.65521573,13.87
2016-09-28T15:11:49.618+0200,21.15947801,42.65520623,14.02
2016-09-28T15:11:50.766+0200,21.15947025,42.65518725,14.48
2016-09-28T15:11:51.972+0200,21.15945896,42.65517664,15.03
2016-09-28T15:11:53.069+0200,21.15943297,42.65514631,16.07
2016-09-28T15:11:54.283+0200,21.15943024,42.65512711,15.03
2016-09-28T15:11:55.401+0200,21.15941956,42.65511052,15.11
2016-09-28T15:11:56.661+0200,21.15941182,42.65509695,14.95
2016-09-28T15:11:57.770+0200,21.15941064,42.65507343,14.56
2016-09-28T15:11:58.916+0200,21.15941035,42.65505018,15.11
2016-09-28T15:12:00.098+0200,21.15938893,42.65502852,14.72
2016-09-28T15:12:01.240+0200,21.15938882,42.65501118,14.48
2016-09-28T15:12:02.433+0200,21.15938111,42.65499748,13.65
2016-09-28T15:12:03.628+0200,21.15937257,42.65498434,14.56
2016-09-28T15:12:04.753+0200,21.15936038,42.6549723,14.87
2016-09-28T15:12:05.946+0200,21.15935083,42.6549532,15.42
2016-09-28T15:12:07.103+0200,21.15933467,42.65492512,16.23
2016-09-28T15:12:08.265+0200,21.15932147,42.65491025,17.32
2016-09-28T15:12:09.402+0200,21.15931899,42.65489067,17.41
2016-09-28T15:12:10.608+0200,21.15931295,42.65487466,17.15
2016-09-28T15:12:11.773+0200,21.15930272,42.65486248,17.24
2016-09-28T15:12:12.916+0200,21.15929859,42.65484875,16.98
2016-09-28T15:12:14.092+0200,21.15929017,42.65482517,15.82
2016-09-28T15:12:15.262+0200,21.15927075,42.65482219,15.18
2016-09-28T15:12:16.418+0200,21.15926684,42.65480837,14.95
2016-09-28T15:12:17.601+0200,21.15925841,42.65479045,15.18
2016-09-28T15:12:18.722+0200,21.15925462,42.65477446,14.79
2016-09-28T15:12:19.902+0200,21.15924829,42.65476197,15.26
2016-09-28T15:12:21.078+0200,21.15923756,42.65472393,14.72
2016-09-28T15:12:22.232+0200,21.15923274,42.65470673,14.72
2016-09-28T15:12:23.410+0200,21.15922497,42.65469751,15.11
2016-09-28T15:12:24.613+0200,21.15922255,42.6546784,14.72
2016-09-28T15:12:25.770+0200,21.15921844,42.65465879,14.56
2016-09-28T15:12:26.920+0200,21.15922166,42.65463548,14.79
2016-09-28T15:12:28.037+0200,21.15920971,42.6545971,14.87
2016-09-28T15:12:29.296+0200,21.15921052,42.65457767,14.95
2016-09-28T15:12:30.415+0200,21.15921659,42.65455769,14.25
2016-09-28T15:12:31.608+0200,21.15920918,42.6545432,14.72
2016-09-28T15:12:32.719+0200,21.15920234,42.65452977,15.58
2016-09-28T15:12:33.950+0200,21.15920294,42.65451593,16.31
2016-09-28T15:12:35.077+0200,21.15921048,42.65448557,16.39
2016-09-28T15:12:36.265+0200,21.15920566,42.65447133,15.74
2016-09-28T15:12:37.398+0200,21.15920314,42.65445923,15.82
2016-09-28T15:12:38.596+0200,21.15919905,42.65444831,15.18
2016-09-28T15:12:39.776+0200,21.15919929,42.65443016,15.03
2016-09-28T15:12:40.943+0200,21.15919555,42.65441204,15.42
2016-09-28T15:12:42.110+0200,21.15918372,42.65438101,16.07
2016-09-28T15:12:43.315+0200,21.1591759,42.65436489,15.11
2016-09-28T15:12:44.363+0200,21.15916619,42.65435324,15.18
2016-09-28T15:12:45.615+0200,21.15916403,42.65433811,15.5
2016-09-28T15:12:46.762+0200,21.15916485,42.6543199,15.34
2016-09-28T15:12:47.946+0200,21.15915935,42.65430361,15.58
2016-09-28T15:12:49.077+0200,21.15915035,42.65426998,16.48
2016-09-28T15:12:50.255+0200,21.15914203,42.65425334,17.5
2016-09-28T15:12:51.446+0200,21.15913676,42.65423727,16.48
2016-09-28T15:12:52.588+0200,21.15912955,42.65422428,17.07
2016-09-28T15:12:53.746+0200,21.1591212,42.65421147,16.64
2016-09-28T15:12:54.908+0200,21.1591136,42.65420059,16.23
2016-09-28T15:12:56.078+0200,21.15910012,42.65416832,17.07
2016-09-28T15:12:57.289+0200,21.15909293,42.65415473,18.03
2016-09-28T15:12:58.363+0200,21.15909456,42.65413603,18.3
2016-09-28T15:12:59.572+0200,21.15908873,42.65411728,17.94
