sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961051B5,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2016-08-31T15:21:09.385+0200,21.15987179,42.65543034,15.26
2016-08-31T15:21:10.600+0200,21.15987216,42.65541641,16.07
2016-08-31T15:21:11.802+0200,21.15986824,42.65540532,16.73
2016-08-31T15:21:12.937+0200,21.15986218,42.65539203,16.48
2016-08-31T15:21:14.077+0200,21.15985386,42.65537246,16.56
2016-08-31T15:21:15.267+0200,21.15983226,42.65534599,16.56
2016-08-31T15:21:16.417+0200,21.15983202,42.65533837,15.98
2016-08-31T15:21:17.565+0200,21.15982654,42.65532831,15.66
2016-08-31T15:21:18.734+0200,21.15981773,42.65532076,15.26
2016-08-31T15:21:19.965+0200,21.15981265,42.6553098,15.26
2016-08-31T15:21:21.090+0200,21.15980485,42.65529507,14.64
2016-08-31T15:21:22.286+0200,21.15978264,42.65527551,15.42
2016-08-31T15:21:23.449+0200,21.15977322,42.65526637,14.79
2016-08-31T15:21:24.580+0200,21.15976702,42.65525708,14.18
2016-08-31T15:21:25.737+0200,21.15976129,42.65524833,14.33
2016-08-31T15:21:26.940+0200,21.15975716,42.65523819,13.87
2016-08-31T15:21:28.062+0200,21.15975184,42.65522763,14.33
2016-08-31T15:21:29.270+0200,21.15973634,42.65520246,13.95
2016-08-31T15:21:30.458+0200,21.15972707,42.65518661,14.87
2016-08-31T15:21:31.639+0200,21.15972475,42.65517445,15.66
2016-08-31T15:21:32.759+0200,21.15972491,42.65516386,15.82
2016-08-31T15:21:33.919+0200,21.15972349,42.65515277,16.31
2016-08-31T15:21:35.096+0200,21.15971888,42.65514069,16.31
2016-08-31T15:21:36.280+0200,21.15971304,42.65510966,16.07
2016-08-31T15:21:37.440+0200,21.1597113,42.65509711,16.48
2016-08-31T15:21:38.595+0200,21.15970727,42.65508238,16.23
2016-08-31T15:21:39.737+0200,21.15970508,42.65506917,15.66
2016-08-31T15:21:40.927+0200,21.15970047,42.65505465,15.66
2016-08-31T15:21:42.056+0200,21.15969317,42.65504275,16.15
2016-08-31T15:21:43.236+0200,21.15966644,42.65502011,16.23
2016-08-31T15:21:44.450+0200,21.15966062,42.65500809,15.98
2016-08-31T15:21:45.590+0200,21.15966189,42.65499487,15.98
2016-08-31T15:21:46.757+0200,21.15965269,42.65498326,16.15
2016-08-31T15:21:47.883+0200,21.1596443,42.65496673,15.42
2016-08-31T15:21:49.075+0200,21.15963747,42.65495144,14.64
2016-08-31T15:21:50.228+0200,21.15962237,42.65492445,14.25
2016-08-31T15:21:51.369+0200,21.15961389,42.65491101,14.64
2016-08-31T15:21:52.572+0200,21.1596017,42.65489773,15.5
2016-08-31T15:21:53.705+0200,21.15958118,42.654885,15.34
2016-08-31T15:21:54.905+0200,21.1595561,42.65486616,16.23
2016-08-31T15:21:56.044+0200,21.15956501,42.65485369,16.81
2016-08-31T15:21:57.262+0200,21.15958094,42.65483128,17.5
2016-08-31T15:21:58.391+0200,21.15957551,42.65481894,18.48
2016-08-31T15:21:59.559+0200,21.15957573,42.65481174,18.57
2016-08-31T15:22:00.722+0200,21.15956323,42.65479947,19.13
2016-08-31T15:22:01.898+0200,21.15956109,42.65478283,20.41
2016-08-31T15:22:03.114+0200,21.15954935,42.65474956,21.45
2016-08-31T15:22:04.292+0200,21.15953882,42.65473283,21.24
2016-08-31T15:22:05.440+0200,21.15952528,42.65472085,22.55
2016-08-31T15:22:06.579+0200,21.15952486,42.65470769,23.13
2016-08-31T15:22:07.775+0200,21.1595195,42.65469172,21.56
2016-08-31T15:22:08.908+0200,21.15952082,42.65468047,22.1
2016-08-31T15:22:10.037+0200,21.15951608,42.65466435,22.33
2016-08-31T15:22:11.290+0200,21.15951669,42.65463238,21.34
2016-08-31T15:22:12.443+0200,21.15951687,42.65462175,20.71
2016-08-31T15:22:13.563+0200,21.15950933,42.65461001,20.41
