sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961051B5,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2016-08-31T10:51:51.258+0200,21.1595342,42.65507605,73.34
2016-08-31T10:51:52.441+0200,21.15949154,42.65504551,77.97
2016-08-31T10:51:53.603+0200,21.15948445,42.65505288,80.5
2016-08-31T10:51:54.752+0200,21.1595163,42.65510684,88.33
2016-08-31T10:51:55.904+0200,21.15947424,42.65510234,84.37
2016-08-31T10:51:57.063+0200,21.15948183,42.6551186,91.02
2016-08-31T10:51:58.295+0200,21.15947098,42.65510189,100.06
2016-08-31T10:51:59.421+0200,21.15945656,42.65509087,98.99
2016-08-31T10:52:00.580+0200,21.15947053,42.65509387,102.58
2016-08-31T10:52:01.730+0200,21.15946014,42.65509659,105.88
2016-08-31T10:52:02.900+0200,21.15946593,42.65508813,106.63
2016-08-31T10:52:04.057+0200,21.15945297,42.65507944,103.31
2016-08-31T10:52:05.264+0200,21.1594428,42.65505956,105.14
2016-08-31T10:52:06.428+0200,21.15944008,42.65505843,106.26
2016-08-31T10:52:07.545+0200,21.15943295,42.65504522,104.04
2016-08-31T10:52:08.784+0200,21.15941435,42.65502241,102.95
2016-08-31T10:52:09.908+0200,21.15941509,42.65501297,102.95
2016-08-31T10:52:11.069+0200,21.15941538,42.65499766,102.22
2016-08-31T10:52:12.255+0200,21.159407,42.65499859,101.86
2016-08-31T10:52:13.397+0200,21.15941221,42.65500103,96.88
2016-08-31T10:52:14.590+0200,21.15941787,42.65500442,94.09
2016-08-31T10:52:15.738+0200,21.15941883,42.65500393,97.58
2016-08-31T10:52:16.920+0200,21.15941759,42.6550021,97.93
2016-08-31T10:52:18.041+0200,21.15941488,42.65500017,99.35
2016-08-31T10:52:19.243+0200,21.15940839,42.65499256,93.4
2016-08-31T10:52:20.397+0200,21.15941115,42.65499294,90.68
2016-08-31T10:52:21.609+0200,21.159411,42.65499188,89.33
2016-08-31T10:52:22.740+0200,21.15941083,42.65499135,90.34
2016-08-31T10:52:23.920+0200,21.15941105,42.65499125,91.02
2016-08-31T10:52:25.077+0200,21.15941102,42.6549911,87.33
2016-08-31T10:52:26.260+0200,21.15941113,42.65499109,85.02
2016-08-31T10:52:27.397+0200,21.1594283,42.65498787,76.1
2016-08-31T10:52:28.575+0200,21.15942878,42.65498423,74.25
2016-08-31T10:52:29.734+0200,21.15944019,42.65498622,73.34
2016-08-31T10:52:30.947+0200,21.1594272,42.65496908,71.22
2016-08-31T10:52:32.072+0200,21.15940824,42.6549545,70.03
2016-08-31T10:52:33.234+0200,21.15952024,42.65494413,71.22
2016-08-31T10:52:34.397+0200,21.15954232,42.65493036,70.33
2016-08-31T10:52:35.597+0200,21.15955511,42.65491562,73.34
2016-08-31T10:52:36.744+0200,21.15956701,42.65490789,71.82
2016-08-31T10:52:37.930+0200,21.15956337,42.65488841,71.52
2016-08-31T10:52:39.060+0200,21.15956715,42.65487671,68.55
2016-08-31T10:52:40.249+0200,21.15957073,42.65484776,69.44
2016-08-31T10:52:41.413+0200,21.15956304,42.6548297,68.85
2016-08-31T10:52:42.640+0200,21.15955439,42.65481676,65.07
2016-08-31T10:52:43.750+0200,21.15954954,42.65480712,68.55
2016-08-31T10:52:44.884+0200,21.1595437,42.65479225,64.5
2016-08-31T10:52:46.094+0200,21.15953794,42.65478032,57.08
2016-08-31T10:52:47.236+0200,21.15953395,42.65475711,58.42
2016-08-31T10:52:48.404+0200,21.15952924,42.65474024,59.5
2016-08-31T10:52:49.574+0200,21.15952698,42.65472783,60.32
2016-08-31T10:52:50.724+0200,21.15951958,42.65471357,56.56
2016-08-31T10:52:51.904+0200,21.159512,42.65470559,54.73
2016-08-31T10:52:53.075+0200,21.15951055,42.654692,51.45
2016-08-31T10:52:54.312+0200,21.15949298,42.6546696,50.71
2016-08-31T10:52:55.406+0200,21.15949294,42.65465692,52.69
