sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961051B5,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2016-08-30T15:55:15.321+0200,21.16088251,42.65613177,11.71
2016-08-30T15:55:16.441+0200,21.16087915,42.65613264,12.08
2016-08-30T15:55:17.657+0200,21.16087786,42.6561323,12.0
2016-08-30T15:55:18.814+0200,21.1608728,42.65613031,11.56
2016-08-30T15:55:19.994+0200,21.16087191,42.65612996,10.82
2016-08-30T15:55:21.154+0200,21.16085855,42.65613477,10.89
2016-08-30T15:55:22.296+0200,21.16083587,42.65614135,10.45
2016-08-30T15:55:23.493+0200,21.16081286,42.65614504,10.0
2016-08-30T15:55:24.639+0200,21.16079649,42.65615143,10.37
2016-08-30T15:55:25.759+0200,21.16074992,42.65616091,10.37
2016-08-30T15:55:26.966+0200,21.1607363,42.65616324,11.12
2016-08-30T15:55:28.121+0200,21.16071545,42.6561647,10.67
2016-08-30T15:55:29.265+0200,21.16069806,42.65616595,10.82
2016-08-30T15:55:30.454+0200,21.16068164,42.65616611,11.49
2016-08-30T15:55:31.646+0200,21.16066145,42.65617334,11.41
2016-08-30T15:55:32.802+0200,21.16064267,42.65616846,11.63
2016-08-30T15:55:33.955+0200,21.1606163,42.65616993,12.6
2016-08-30T15:55:35.123+0200,21.16059587,42.6561687,12.08
2016-08-30T15:55:36.300+0200,21.16057714,42.65617774,12.45
2016-08-30T15:55:37.456+0200,21.16057116,42.65618752,11.71
2016-08-30T15:55:38.635+0200,21.16054064,42.65620732,10.89
2016-08-30T15:55:39.779+0200,21.16051385,42.6562046,11.34
2016-08-30T15:55:41.001+0200,21.16049666,42.65619844,11.49
2016-08-30T15:55:42.126+0200,21.1604649,42.65619374,12.45
2016-08-30T15:55:43.288+0200,21.16044339,42.65619868,12.08
2016-08-30T15:55:44.434+0200,21.1604166,42.65618741,11.93
2016-08-30T15:55:45.609+0200,21.16041384,42.65618666,12.38
2016-08-30T15:55:46.766+0200,21.16039498,42.6561919,12.67
2016-08-30T15:55:47.957+0200,21.16038549,42.65617799,12.75
2016-08-30T15:55:49.084+0200,21.16036102,42.65615796,12.97
2016-08-30T15:55:50.300+0200,21.16031937,42.65613885,12.45
2016-08-30T15:55:51.484+0200,21.16030423,42.65612489,12.38
2016-08-30T15:55:52.631+0200,21.16028223,42.65611246,11.93
2016-08-30T15:55:53.767+0200,21.16027795,42.65610021,11.49
2016-08-30T15:55:55.024+0200,21.16027364,42.65608965,11.19
2016-08-30T15:55:56.113+0200,21.16026289,42.65608396,10.89
2016-08-30T15:55:57.318+0200,21.16025554,42.65608111,11.04
2016-08-30T15:55:58.503+0200,21.16024282,42.65607236,12.52
2016-08-30T15:55:59.649+0200,21.16021765,42.65605063,12.67
2016-08-30T15:56:00.774+0200,21.16020947,42.65603526,11.93
2016-08-30T15:56:02.031+0200,21.16020419,42.65602415,11.71
2016-08-30T15:56:03.089+0200,21.16019371,42.65601368,11.56
2016-08-30T15:56:04.277+0200,21.16018724,42.65600385,11.63
2016-08-30T15:56:05.424+0200,21.1601753,42.65599151,11.63
2016-08-30T15:56:06.616+0200,21.16015733,42.6559679,11.34
2016-08-30T15:56:07.773+0200,21.16015023,42.65595479,12.15
2016-08-30T15:56:08.987+0200,21.16014692,42.65594324,12.82
2016-08-30T15:56:10.114+0200,21.16014206,42.655928,12.45
2016-08-30T15:56:11.265+0200,21.16013452,42.65591205,13.05
2016-08-30T15:56:12.441+0200,21.16012597,42.65590009,12.9
2016-08-30T15:56:13.631+0200,21.1601057,42.65587771,12.52
2016-08-30T15:56:14.824+0200,21.16009626,42.65586697,12.0
2016-08-30T15:56:15.958+0200,21.16008518,42.65585552,11.86
2016-08-30T15:56:17.111+0200,21.16007901,42.65584466,12.0
2016-08-30T15:56:18.268+0200,21.16006868,42.65582831,11.71
2016-08-30T15:56:19.446+0200,21.16005985,42.65581403,12.3
